Rk,Pos,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,Pos,90s,CrdY,CrdR,2CrdY,Fls,Off,Crs,Int,TklW,PKcon,OG,Recov,Won,Lost,Won%
1200,DF,0.4,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,1200,DF,0.4,0,0,0,1,0,0,0,0,0,0,1,0,0,
1201,MF,1.6,2,0,1,0,1,2,3,66.7,1,2,0,2,1,3,0,0,1201,MF,1.6,0,0,0,0,3,10,1,0,0,0,5,0,0,
1203,DF,18.3,27,17,17,9,1,16,27,59.3,11,20,16,4,27,54,49,1,1203,DF,18.3,9,0,0,32,1,3,27,17,0,0,81,19,20,48.7
1205,MF,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,1205,MF,0.1,0,0,0,0,0,0,1,1,0,0,3,0,0,
1206,DF,2.8,4,3,4,0,0,3,3,100.0,0,7,3,4,6,10,10,0,1206,DF,2.8,0,0,0,1,1,1,6,3,0,0,9,6,4,60.0
1208,DF,2.6,7,2,4,3,0,5,9,55.6,4,3,2,1,4,11,7,0,1208,DF,2.6,0,0,0,0,0,0,4,2,0,0,14,5,2,71.4
1209,MF,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0,1209,MF,0.4,0,0,0,0,0,0,1,0,0,0,3,0,0,
1210,MF,11.7,28,14,14,10,4,15,33,45.5,18,13,1,12,20,48,15,0,1210,MF,11.7,4,0,0,18,0,6,20,14,0,0,79,13,12,52.0
1212,DF,16.3,57,41,27,21,9,29,47,61.7,18,19,2,17,11,68,40,0,1212,DF,16.3,0,0,0,25,3,76,11,41,0,0,75,38,30,55.9
1214,DF,4.7,14,9,10,3,1,8,10,80.0,2,4,4,0,3,17,7,1,1214,DF,4.7,2,2,1,4,2,28,3,9,0,0,28,8,5,61.5
1215,"MF,DF",33.9,63,38,29,25,9,32,64,50.0,32,35,9,26,36,99,64,3,1215,"MF,DF",33.9,8,0,0,27,3,59,36,38,0,0,189,34,26,56.7
1217,"DF,MF",0.3,1,1,1,0,0,1,1,100.0,0,2,2,0,1,2,4,0,1217,"DF,MF",0.3,0,0,0,1,0,0,1,1,0,0,1,2,2,50.0
1220,MF,1.7,0,0,0,0,0,0,6,0.0,6,5,0,5,0,0,2,0,1220,MF,1.7,0,0,0,4,0,6,0,0,0,0,9,1,8,11.1
1222,MF,29.8,54,28,24,21,9,19,56,33.9,37,48,7,41,44,98,44,0,1222,MF,29.8,5,0,0,48,2,20,44,28,0,0,126,23,45,33.8
1223,MF,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,1223,MF,0.1,0,0,0,1,0,1,0,0,0,0,0,0,2,0.0
1227,MF,24.5,54,32,25,22,7,26,95,27.4,69,41,6,35,23,77,25,1,1227,MF,24.5,5,0,0,28,2,113,23,32,0,0,123,5,11,31.3
1228,DF,19.4,34,24,21,11,2,14,21,66.7,7,29,17,12,26,60,94,0,1228,DF,19.4,7,1,1,26,0,0,26,24,0,1,81,48,22,68.6
1230,DF,23.5,42,19,28,12,2,23,33,69.7,10,23,12,11,23,65,67,1,1230,DF,23.5,7,0,0,28,0,0,23,19,1,0,112,47,47,50.0
1231,DF,0.8,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,4,0,1231,DF,0.8,1,0,0,2,0,1,0,1,0,0,2,0,0,
1238,DF,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,1238,DF,0.9,1,0,0,1,0,0,0,0,0,0,3,0,1,0.0
1240,MF,13.0,27,14,12,12,3,10,23,43.5,13,22,0,22,7,34,8,0,1240,MF,13.0,3,1,0,16,5,4,7,14,0,0,72,7,12,36.8
1241,MF,18.2,43,26,14,23,6,8,19,42.1,11,18,8,10,14,57,28,1,1241,MF,18.2,7,0,0,19,1,25,14,26,0,0,117,23,17,57.5
1242,MF,4.2,8,7,3,3,2,7,15,46.7,8,4,2,2,4,12,2,0,1242,MF,4.2,1,0,0,1,0,3,4,7,0,0,19,4,5,44.4
1243,"MF,DF",6.4,16,11,3,11,2,7,15,46.7,8,7,2,5,8,24,7,0,1243,"MF,DF",6.4,1,0,0,19,1,22,8,11,1,0,36,11,21,34.4
1246,MF,10.2,24,10,6,10,8,11,23,47.8,12,17,1,16,12,36,7,1,1246,MF,10.2,1,0,0,9,0,3,12,10,0,0,49,7,7,50.0
1252,MF,6.3,13,10,4,6,3,9,17,52.9,8,4,0,4,2,15,6,0,1252,MF,6.3,2,0,0,13,2,6,2,10,0,0,34,14,15,48.3
1254,DF,8.3,11,8,8,3,0,9,10,90.0,1,17,11,6,7,18,50,1,1254,DF,8.3,4,0,0,5,1,1,7,8,0,0,27,21,13,61.8
1255,DF,4.4,6,5,4,2,0,4,4,100.0,0,9,6,3,8,14,29,0,1255,DF,4.4,1,0,0,6,0,0,8,5,0,0,25,11,5,68.8
1256,DF,13.7,16,12,11,5,0,6,17,35.3,11,25,20,5,12,28,106,2,1256,DF,13.7,5,0,0,13,0,1,12,12,0,0,47,45,25,64.3
1257,DF,28.7,37,23,21,14,2,18,33,54.5,15,39,17,22,24,61,102,0,1257,DF,28.7,4,1,0,15,1,23,24,23,1,0,142,44,26,62.9
1259,MF,0.5,1,0,1,0,0,1,3,33.3,2,3,0,3,0,1,0,0,1259,MF,0.5,0,0,0,0,0,3,0,0,0,0,4,1,1,50.0
1260,MF,4.2,4,2,2,0,2,1,6,16.7,5,3,0,3,2,6,1,1,1260,MF,4.2,1,0,0,4,1,7,2,2,0,0,20,1,5,16.7
1262,DF,14.4,20,14,11,7,2,10,21,47.6,11,17,3,14,12,32,27,1,1262,DF,14.4,4,0,0,4,0,104,12,14,0,0,87,3,4,42.9
1263,DF,5.5,14,11,13,1,0,7,17,41.2,10,7,2,5,3,17,22,1,1263,DF,5.5,1,0,0,3,0,24,3,11,0,0,29,5,3,62.5
1267,DF,12.1,17,12,15,1,1,11,19,57.9,8,9,5,4,12,29,40,0,1267,DF,12.1,4,0,0,11,3,8,12,12,0,0,67,26,23,53.1
1268,MF,15.3,39,23,15,16,8,17,34,50.0,17,22,4,18,12,51,13,0,1268,MF,15.3,4,1,1,26,0,7,12,23,0,0,84,21,18,53.8
1270,DF,25.4,48,35,32,14,2,19,33,57.6,14,43,21,22,46,94,106,2,1270,DF,25.4,11,1,1,31,0,3,46,35,1,0,96,68,47,59.1
1271,DF,9.6,10,7,4,5,1,2,11,18.2,9,15,9,6,12,22,56,0,1271,DF,9.6,5,0,0,15,0,2,12,7,2,0,22,26,10,72.2
1272,DF,19.2,52,28,23,21,8,24,45,53.3,21,22,11,11,16,68,56,2,1272,DF,19.2,7,0,0,27,2,66,16,28,0,1,102,17,18,48.6
1274,"MF,DF",0.4,3,3,1,1,1,0,1,0.0,1,0,0,0,1,4,0,0,1274,"MF,DF",0.4,0,0,0,2,1,1,1,3,0,0,5,1,2,33.3
1278,DF,5.8,7,4,6,0,1,3,6,50.0,3,9,7,2,3,10,29,1,1278,DF,5.8,2,0,0,7,0,1,3,4,1,0,14,11,11,50.0
