Rk,Pos,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Rk,Pos,90s,CrdY,CrdR,2CrdY,Fls,Off,Crs,Int,TklW,PKcon,OG,Recov,Won,Lost,Won%
1365,DF,20.1,30,20,11,12,7,15,26,57.7,11,27,3,24,27,57,43,1,1365,DF,20.1,3,0,0,17,0,2,27,20,0,0,132,23,17,57.5
1366,DF,20.2,37,23,20,13,4,17,33,51.5,16,29,8,21,9,46,43,0,1366,DF,20.2,2,0,0,19,7,168,9,23,0,0,73,11,17,39.3
1369,MF,9.1,14,9,6,7,1,7,15,46.7,8,10,2,8,13,27,10,1,1369,MF,9.1,2,0,0,11,1,1,13,9,0,0,60,19,13,59.4
1370,DF,9.6,20,13,12,7,1,11,17,64.7,6,9,6,3,13,33,38,1,1370,DF,9.6,2,0,0,16,1,16,13,13,0,0,52,13,6,68.4
1372,DF,3.5,2,2,1,1,0,0,2,0.0,2,4,3,1,4,6,9,0,1372,DF,3.5,3,0,0,9,0,14,4,2,3,0,20,1,7,12.5
1373,DF,32.2,37,23,22,10,5,28,51,54.9,23,32,12,20,25,62,83,5,1373,DF,32.2,4,0,0,22,2,34,25,23,0,0,157,71,44,61.7
1374,DF,21.4,49,30,39,8,2,28,51,54.9,23,31,20,11,29,78,123,1,1374,DF,21.4,5,1,0,35,1,1,29,30,2,0,110,61,28,68.5
1375,MF,2.4,8,5,3,3,2,1,4,25.0,3,4,1,3,2,10,10,0,1375,MF,2.4,2,0,0,6,0,0,2,5,0,0,14,10,10,50.0
1376,MF,17.2,36,25,16,15,5,18,28,64.3,10,23,1,22,10,46,10,0,1376,MF,17.2,4,0,0,17,0,0,10,25,0,0,72,4,4,50.0
1377,MF,6.8,5,2,2,2,1,2,8,25.0,6,12,2,10,1,6,7,0,1377,MF,6.8,1,0,0,7,2,13,1,2,0,0,23,8,14,36.4
1380,DF,10.1,21,14,10,7,4,12,25,48.0,13,8,3,5,9,30,21,0,1380,DF,10.1,2,0,0,10,0,17,9,14,0,0,44,13,15,46.4
1381,MF,15.2,19,14,7,10,2,8,20,40.0,12,15,4,11,11,30,30,0,1381,MF,15.2,2,0,0,16,2,17,11,14,0,0,85,16,17,48.5
1383,MF,2.8,10,5,5,5,0,2,14,14.3,12,7,1,6,4,14,6,0,1383,MF,2.8,4,0,0,6,0,3,4,5,0,0,20,7,7,50.0
1384,DF,0.6,2,0,2,0,0,1,2,50.0,1,0,0,0,0,2,0,0,1384,DF,0.6,0,0,0,0,1,0,0,0,0,0,4,0,0,
1385,MF,15.0,57,33,22,31,4,21,58,36.2,37,33,4,29,17,74,28,0,1385,MF,15.0,5,0,0,31,0,7,17,33,0,0,148,15,11,57.7
1386,DF,19.4,36,19,25,8,3,28,50,56.0,22,27,7,20,8,44,50,0,1386,DF,19.4,5,0,0,14,1,44,8,19,0,1,67,30,21,58.8
1387,DF,23.3,35,24,25,10,0,21,33,63.6,12,29,20,9,29,64,118,0,1387,DF,23.3,4,1,1,26,1,1,29,24,0,0,74,58,40,59.2
1388,MF,23.6,53,34,19,25,9,24,59,40.7,35,22,4,18,17,70,11,1,1388,MF,23.6,3,0,0,17,3,118,17,34,0,0,144,8,4,66.7
1390,MF,7.6,10,8,3,6,1,4,9,44.4,5,7,3,4,11,21,14,0,1390,MF,7.6,3,0,0,10,0,4,11,8,0,0,41,11,6,64.7
1391,DF,20.5,50,24,35,13,2,26,42,61.9,16,36,14,22,37,87,57,1,1391,DF,20.5,7,0,0,19,3,21,37,24,0,0,113,35,25,58.3
1393,MF,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1393,MF,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1395,MF,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1395,MF,0.1,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0
1397,DF,10.3,30,20,14,12,4,9,22,40.9,13,12,3,9,14,44,18,2,1397,DF,10.3,3,0,0,23,2,28,14,20,0,0,60,4,9,30.8
1398,DF,4.0,3,2,2,1,0,1,2,50.0,1,8,6,2,0,3,22,0,1398,DF,4.0,1,0,0,3,0,0,0,2,1,1,6,4,4,50.0
1400,DF,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1400,DF,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1401,MF,2.2,6,4,5,1,0,3,6,50.0,3,3,0,3,4,10,5,0,1401,MF,2.2,0,0,0,4,0,12,4,4,0,0,6,2,2,50.0
1402,MF,23.2,34,19,11,13,10,15,43,34.9,28,18,5,13,22,56,18,1,1402,MF,23.2,1,0,0,30,4,27,22,19,0,0,110,26,20,56.5
1407,DF,19.0,19,10,16,3,0,11,24,45.8,13,18,1,17,13,32,28,0,1407,DF,19.0,3,0,0,15,2,84,13,10,1,0,71,12,20,37.5
1408,MF,21.7,39,21,12,22,5,22,43,51.2,21,23,4,19,12,51,17,0,1408,MF,21.7,4,1,1,40,4,17,12,21,0,0,107,14,37,27.5
1411,DF,26.2,48,29,28,18,2,29,41,70.7,12,35,12,23,24,72,121,0,1411,DF,26.2,5,3,1,27,0,5,24,29,0,0,126,64,50,56.1
1413,DF,1.0,2,0,2,0,0,0,0,,0,1,0,1,0,2,2,0,1413,DF,1.0,0,0,0,1,0,0,0,0,0,0,2,0,0,
1414,MF,11.9,21,12,4,12,5,4,12,33.3,8,26,2,24,12,33,14,2,1414,MF,11.9,2,0,0,20,0,22,12,12,0,0,80,12,14,46.2
1415,"DF,MF",19.7,56,36,25,20,11,22,52,42.3,30,42,6,36,18,74,13,2,1415,"DF,MF",19.7,3,0,0,28,2,31,18,36,0,0,114,12,19,38.7
1416,"DF,MF",8.3,23,16,15,8,0,14,24,58.3,10,13,6,7,5,28,28,0,1416,"DF,MF",8.3,2,0,0,8,1,19,5,16,0,0,33,7,12,36.8
1417,DF,33.0,78,51,39,28,11,30,56,53.6,26,27,6,21,28,106,75,1,1417,DF,33.0,7,0,0,24,0,143,28,51,0,0,221,7,14,33.3
1424,DF,9.1,17,12,10,5,2,6,14,42.9,8,11,4,7,4,21,33,2,1424,DF,9.1,1,1,0,4,0,16,4,12,0,0,37,2,6,25.0
1426,DF,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,1426,DF,0.1,0,0,0,0,0,0,0,0,0,0,2,0,0,
1427,DF,20.2,23,14,15,7,1,16,36,44.4,20,36,26,10,11,34,116,1,1427,DF,20.2,4,0,0,20,1,1,11,14,1,0,73,38,34,52.8
1429,DF,5.9,17,9,10,5,2,10,14,71.4,4,6,1,5,7,24,20,1,1429,DF,5.9,1,0,0,5,1,6,7,9,0,0,34,1,4,20.0
1430,MF,21.0,32,18,18,10,4,15,28,53.6,13,34,7,27,29,61,30,1,1430,MF,21.0,1,0,0,16,1,8,29,18,0,0,116,9,19,32.1
1431,DF,12.0,14,9,7,7,0,6,11,54.5,5,17,12,5,5,19,42,0,1431,DF,12.0,4,0,0,17,1,1,5,9,0,0,53,47,24,66.2
1433,DF,17.2,38,23,19,13,6,16,27,59.3,11,17,3,14,17,55,27,0,1433,DF,17.2,3,0,0,19,2,49,17,23,0,0,83,10,19,34.5
1435,MF,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,1435,MF,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,
1437,"DF,MF",22.2,18,11,7,9,2,13,19,68.4,6,14,1,13,8,26,29,0,1437,"DF,MF",22.2,3,0,0,12,1,127,8,11,0,0,103,14,20,41.2
1439,DF,18.6,26,18,13,10,3,18,28,64.3,10,20,4,16,12,38,37,1,1439,DF,18.6,4,1,0,16,1,56,12,18,0,0,72,5,16,23.8
1440,"DF,MF",16.8,35,22,25,7,3,19,40,47.5,21,24,3,21,12,47,42,0,1440,"DF,MF",16.8,2,0,0,7,0,33,12,22,0,0,61,7,11,38.9
1441,DF,5.3,19,11,11,7,1,8,12,66.7,4,6,3,3,13,32,26,0,1441,DF,5.3,3,0,0,7,0,5,13,11,0,0,20,11,9,55.0
1442,DF,0.6,6,2,4,2,0,4,9,44.4,5,2,1,1,0,6,0,0,1442,DF,0.6,0,0,0,2,0,4,0,2,0,0,6,1,0,100.0
1444,MF,17.0,50,35,23,17,10,23,47,48.9,24,17,3,14,19,69,20,0,1444,MF,17.0,3,0,0,24,0,24,19,35,0,0,127,11,12,47.8
1445,"DF,MF",6.0,5,0,4,0,1,4,8,50.0,4,11,3,8,3,8,10,0,1445,"DF,MF",6.0,1,0,0,3,2,18,3,0,0,0,35,2,2,50.0
1446,DF,27.4,31,22,16,15,0,17,30,56.7,13,26,15,11,28,59,96,1,1446,DF,27.4,13,0,0,33,1,1,28,22,1,1,111,110,60,64.7
1453,MF,28.0,96,67,51,41,4,49,129,38.0,80,61,11,50,43,139,64,3,1453,MF,28.0,12,1,1,47,1,31,43,67,0,0,270,20,12,62.5
1454,DF,30.0,52,36,31,15,6,25,51,49.0,26,48,22,26,47,99,155,1,1454,DF,30.0,6,0,0,40,1,4,47,36,2,0,145,71,44,61.7
1455,DF,4.2,6,3,5,1,0,3,6,50.0,3,2,0,2,4,10,13,0,1455,DF,4.2,0,0,0,2,0,0,4,3,0,0,28,13,6,68.4
1456,DF,37.0,39,25,26,11,2,19,30,63.3,11,33,18,15,23,62,155,1,1456,DF,37.0,5,0,0,26,3,7,23,25,0,1,173,80,49,62.0
1457,DF,0.3,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,1457,DF,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,
1458,DF,22.2,40,22,25,10,5,27,53,50.9,26,24,6,18,15,55,50,0,1458,DF,22.2,4,0,0,15,0,37,15,22,0,0,139,15,9,62.5
1459,MF,1.8,3,1,2,1,0,1,2,50.0,1,0,0,0,0,3,0,0,1459,MF,1.8,0,0,0,3,0,6,0,1,0,0,5,0,2,0.0
1460,MF,33.0,90,58,46,33,11,25,47,53.2,22,36,9,27,41,131,64,0,1460,MF,33.0,12,1,1,43,8,15,41,58,0,0,199,35,41,46.1
1461,DF,2.8,4,1,1,3,0,0,2,0.0,2,3,1,2,2,6,4,0,1461,DF,2.8,1,0,0,2,1,5,2,1,0,0,10,5,2,71.4
1462,DF,0.1,2,2,0,2,0,1,1,100.0,0,0,0,0,0,2,1,0,1462,DF,0.1,0,0,0,0,0,0,0,2,0,0,1,0,0,
1463,DF,12.8,13,9,7,5,1,7,13,53.8,6,19,11,8,7,20,47,1,1463,DF,12.8,3,0,0,3,0,3,7,9,0,0,37,15,11,57.7
1465,"DF,MF",0.5,2,1,2,0,0,1,1,100.0,0,0,0,0,2,4,2,0,1465,"DF,MF",0.5,0,0,0,2,0,5,2,1,0,0,3,2,1,66.7
1466,DF,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,1466,DF,0.1,0,0,0,0,0,0,0,1,0,0,1,0,0,
1467,MF,2.8,4,3,2,2,0,1,8,12.5,7,5,0,5,4,8,0,0,1467,MF,2.8,1,0,0,6,0,2,4,3,0,0,22,1,2,33.3
1468,"MF,DF",26.7,42,25,15,23,4,19,40,47.5,21,31,12,19,36,78,72,0,1468,"MF,DF",26.7,8,0,0,43,4,14,36,25,0,0,174,69,33,67.6
1469,MF,5.5,19,10,8,8,3,6,21,28.6,15,12,3,9,7,26,8,0,1469,MF,5.5,4,0,0,19,0,1,7,10,0,0,37,8,9,47.1
1472,"DF,MF",9.0,10,7,4,4,2,3,7,42.9,4,7,1,6,4,14,6,0,1472,"DF,MF",9.0,1,0,0,7,0,1,4,7,0,0,42,0,6,0.0
1474,DF,14.1,20,13,14,5,1,13,23,56.5,10,18,11,7,14,34,51,0,1474,DF,14.1,3,0,0,12,1,4,14,13,1,0,77,33,14,70.2
1475,DF,15.4,15,12,4,8,3,6,11,54.5,5,14,10,4,19,34,52,0,1475,DF,15.4,5,0,0,12,0,2,19,12,0,0,73,41,28,59.4
1476,DF,14.8,15,10,8,7,0,5,13,38.5,8,18,9,9,12,27,40,1,1476,DF,14.8,2,0,0,15,3,1,12,10,0,0,75,17,24,41.5
1479,MF,20.6,30,21,9,20,1,9,29,31.0,20,24,8,16,23,53,27,1,1479,MF,20.6,12,0,0,50,2,19,23,21,0,0,102,18,16,52.9
1480,"DF,MF",23.1,61,34,32,17,12,35,70,50.0,35,37,1,36,14,75,27,0,1480,"DF,MF",23.1,1,0,0,26,9,41,14,34,0,0,144,9,17,34.6
1481,MF,4.3,9,7,4,3,2,3,11,27.3,8,9,2,7,6,15,7,0,1481,MF,4.3,0,0,0,6,0,5,6,7,0,0,22,5,7,41.7
1482,DF,17.1,30,18,14,15,1,17,35,48.6,18,12,1,11,19,49,41,1,1482,DF,17.1,1,0,0,7,2,25,19,18,0,0,80,14,19,42.4
1484,DF,14.6,23,13,15,6,2,10,21,47.6,11,16,7,9,25,48,41,1,1484,DF,14.6,1,0,0,3,1,26,25,13,0,0,85,12,8,60.0
1487,DF,24.1,31,19,20,10,1,11,24,45.8,13,40,27,13,22,53,79,0,1487,DF,24.1,5,0,0,25,0,6,22,19,1,0,92,43,50,46.2
1488,"MF,DF",28.5,40,23,18,17,5,16,44,36.4,28,36,11,25,14,54,35,0,1488,"MF,DF",28.5,5,0,0,31,19,70,14,23,0,0,115,16,32,33.3
1489,DF,30.9,50,28,40,9,1,28,42,66.7,14,50,30,20,32,82,142,1,1489,DF,30.9,2,0,0,35,1,3,32,28,2,0,147,75,36,67.6
1490,"MF,DF",2.2,3,1,2,1,0,1,4,25.0,3,5,2,3,4,7,8,0,1490,"MF,DF",2.2,0,1,0,3,0,0,4,1,0,0,10,2,2,50.0
1491,MF,5.6,22,13,10,8,4,9,14,64.3,5,4,1,3,5,27,2,0,1491,MF,5.6,2,0,0,12,1,13,5,13,1,0,46,1,5,16.7
1492,MF,36.5,61,39,18,30,13,24,60,40.0,36,30,8,22,30,91,29,0,1492,MF,36.5,4,0,0,33,0,3,30,39,0,0,236,11,23,32.4
1493,MF,33.4,69,43,24,35,10,31,58,53.4,27,43,17,26,25,94,65,0,1493,MF,33.4,6,0,0,41,2,10,25,43,0,0,171,26,15,63.4
1494,DF,32.9,97,55,57,34,6,47,80,58.8,33,28,1,27,40,137,69,0,1494,DF,32.9,5,0,0,26,1,94,40,55,0,0,213,30,25,54.5
1495,DF,13.0,25,16,17,6,2,15,22,68.2,7,23,13,10,23,48,68,0,1495,DF,13.0,4,0,0,15,0,1,23,16,1,1,89,31,16,66.0
1496,DF,13.7,24,16,8,13,3,13,21,61.9,8,7,2,5,16,40,35,0,1496,DF,13.7,6,0,0,27,1,70,16,16,0,0,68,7,11,38.9
1497,MF,23.0,28,18,7,14,7,15,27,55.6,12,24,12,12,9,37,10,1,1497,MF,23.0,5,0,0,39,1,13,9,18,0,0,91,43,31,58.1
1499,MF,19.9,62,35,15,34,13,20,42,47.6,22,20,2,18,12,74,16,1,1499,MF,19.9,2,0,0,32,1,23,12,35,0,0,123,27,27,50.0
1500,MF,30.5,54,30,17,29,8,24,63,38.1,39,43,7,36,17,71,23,0,1500,MF,30.5,7,0,0,24,2,25,17,30,0,0,120,18,22,45.0
1502,DF,3.8,10,7,6,4,0,7,14,50.0,7,7,1,6,7,17,18,0,1502,DF,3.8,1,0,0,4,0,2,7,7,0,0,27,5,7,41.7
1504,DF,21.8,33,20,21,12,0,17,22,77.3,5,28,19,9,20,53,63,4,1504,DF,21.8,4,0,0,17,1,0,20,20,1,0,121,32,38,45.7
1507,DF,26.5,23,12,11,9,3,15,26,57.7,11,25,9,16,10,33,77,1,1507,DF,26.5,3,0,0,25,1,105,10,12,1,0,123,28,22,56.0
1508,MF,8.9,18,9,5,10,3,6,12,50.0,6,3,1,2,7,25,6,0,1508,MF,8.9,1,0,0,8,0,16,7,9,0,0,46,3,5,37.5
1509,MF,1.6,2,1,1,1,0,1,2,50.0,1,1,1,0,2,4,0,0,1509,MF,1.6,0,1,0,2,0,0,2,1,0,0,10,0,1,0.0
1511,MF,23.4,48,24,18,23,7,21,53,39.6,32,24,3,21,16,64,15,2,1511,MF,23.4,8,0,0,60,3,73,16,24,0,0,160,16,19,45.7
1512,MF,21.3,62,37,36,20,6,17,44,38.6,27,23,5,18,15,77,22,2,1512,MF,21.3,5,0,0,30,0,7,15,37,0,0,149,31,12,72.1
1513,MF,28.6,63,37,15,40,8,23,51,45.1,28,37,8,29,25,88,51,0,1513,MF,28.6,10,0,0,38,5,6,25,37,0,0,136,82,54,60.3
1514,DF,20.0,36,28,18,9,9,25,35,71.4,10,30,9,21,16,52,26,1,1514,DF,20.0,4,0,0,12,0,20,16,28,1,0,72,21,15,58.3
1515,"MF,DF",4.5,14,5,6,6,2,7,11,63.6,4,7,3,4,3,17,9,0,1515,"MF,DF",4.5,1,0,0,7,0,33,3,5,0,0,13,4,8,33.3
1516,MF,9.6,13,7,2,8,3,2,8,25.0,6,8,1,7,9,22,4,0,1516,MF,9.6,1,0,0,16,0,53,9,7,0,0,57,9,8,52.9
1517,DF,6.0,10,7,5,5,0,4,5,80.0,1,9,5,4,13,23,10,0,1517,DF,6.0,2,0,0,14,0,0,13,7,1,0,18,11,9,55.0
1518,DF,10.5,27,14,17,8,2,16,24,66.7,8,14,7,7,18,45,41,1,1518,DF,10.5,2,0,0,7,0,1,18,14,2,0,47,15,18,45.5
1519,DF,8.0,9,7,6,3,0,3,7,42.9,4,6,5,1,12,21,37,0,1519,DF,8.0,2,1,0,12,0,3,12,7,0,0,33,24,10,70.6
1520,MF,22.1,25,12,9,11,5,9,23,39.1,14,21,2,19,21,46,24,0,1520,MF,22.1,1,1,0,25,1,82,21,12,0,0,118,8,18,30.8
1521,"DF,MF",5.6,21,10,13,5,3,8,15,53.3,7,10,4,6,5,26,15,0,1521,"DF,MF",5.6,1,0,0,7,1,8,5,10,0,0,7,5,11,31.3
1524,DF,17.1,47,27,32,11,4,32,55,58.2,23,27,4,23,17,64,45,0,1524,DF,17.1,6,0,0,12,2,72,17,27,0,0,92,11,23,32.4
1526,DF,24.6,48,29,31,17,0,27,36,75.0,9,32,17,15,16,64,68,2,1526,DF,24.6,1,0,0,10,1,1,16,29,0,0,136,29,28,50.9
1527,DF,19.9,71,36,44,23,4,43,67,64.2,24,18,3,15,11,82,42,0,1527,DF,19.9,2,0,0,24,1,82,11,36,0,0,112,11,9,55.0
1529,DF,0.3,2,1,1,1,0,1,1,100.0,0,2,1,1,1,3,6,0,1529,DF,0.3,0,0,0,0,0,0,1,1,0,0,3,3,0,100.0
1530,MF,33.3,58,38,21,27,10,25,53,47.2,28,32,8,24,23,81,18,2,1530,MF,33.3,12,0,0,51,0,115,23,38,0,0,184,25,18,58.1
1532,DF,24.3,19,12,10,9,0,10,12,83.3,2,35,13,22,12,31,94,2,1532,DF,24.3,3,0,0,8,1,5,12,12,0,0,158,32,27,54.2
1534,MF,12.5,33,19,9,17,7,18,39,46.2,21,18,5,13,16,49,19,1,1534,MF,12.5,3,0,0,27,0,4,16,19,0,0,65,11,8,57.9
1535,MF,0.2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,1535,MF,0.2,0,0,0,0,0,0,1,0,0,0,2,0,1,0.0
1537,DF,37.8,37,26,25,10,2,15,24,62.5,9,46,35,11,32,69,157,1,1537,DF,37.8,4,0,0,26,1,12,32,26,0,0,142,77,58,57.0
1538,DF,2.4,2,1,1,1,0,1,3,33.3,2,4,2,2,4,6,8,0,1538,DF,2.4,1,0,0,2,0,1,4,1,1,0,7,3,1,75.0
1541,DF,10.0,10,6,5,4,1,5,10,50.0,5,15,5,10,5,15,30,0,1541,DF,10.0,2,0,0,12,2,59,5,6,0,0,31,16,13,55.2
1542,MF,20.0,64,38,33,27,4,30,70,42.9,40,41,8,33,41,105,56,0,1542,MF,20.0,6,0,0,35,0,4,41,38,0,0,118,12,29,29.3
1543,MF,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1543,MF,0.2,1,0,0,1,0,0,0,0,0,0,1,1,0,100.0
1546,DF,14.0,30,22,15,9,6,16,30,53.3,14,22,4,18,13,43,26,0,1546,DF,14.0,5,0,0,19,0,26,13,22,0,0,79,2,9,18.2
1547,MF,28.9,99,55,35,50,14,59,125,47.2,66,65,8,57,35,134,25,1,1547,MF,28.9,7,1,0,53,0,32,35,55,0,0,195,31,28,52.5
1548,DF,12.5,24,18,10,10,4,15,20,75.0,5,13,2,11,7,31,8,0,1548,DF,12.5,4,0,0,30,2,29,7,18,0,0,61,12,10,54.5
1549,MF,8.7,23,14,7,9,7,13,24,54.2,11,8,1,7,4,27,2,0,1549,MF,8.7,0,1,0,12,2,64,4,14,0,0,53,3,10,23.1
1550,MF,23.7,33,19,5,18,10,15,29,51.7,14,15,3,12,13,46,10,1,1550,MF,23.7,5,0,0,21,2,133,13,19,0,0,60,3,6,33.3
1552,DF,16.2,35,22,18,13,4,23,40,57.5,17,12,2,10,10,45,23,0,1552,DF,16.2,3,1,0,22,4,67,10,22,0,0,81,33,25,56.9
1553,DF,33.8,48,28,24,22,2,17,22,77.3,5,44,33,11,31,79,100,1,1553,DF,33.8,4,0,0,35,1,4,31,28,0,1,136,77,62,55.4
1554,"DF,MF",15.0,56,26,22,32,2,26,48,54.2,22,21,4,17,21,77,36,2,1554,"DF,MF",15.0,7,0,0,31,1,3,21,26,1,0,112,24,17,58.5
1555,MF,20.0,49,29,26,22,1,20,42,47.6,22,27,5,22,24,73,38,0,1555,MF,20.0,9,1,1,39,1,3,24,29,1,0,134,24,46,34.3
1556,DF,18.9,35,21,25,10,0,22,36,61.1,14,29,11,18,22,57,92,5,1556,DF,18.9,7,2,0,31,1,7,22,21,1,0,85,51,24,68.0
1557,DF,27.2,33,18,23,10,0,15,25,60.0,10,50,28,22,45,78,118,0,1557,DF,27.2,6,0,0,27,0,12,45,18,0,0,147,45,37,54.9
1558,MF,26.0,49,27,18,26,5,24,58,41.4,34,19,1,18,18,67,18,0,1558,MF,26.0,6,0,0,21,2,20,18,27,0,0,156,13,23,36.1
1559,MF,18.7,49,31,12,32,5,22,47,46.8,25,38,13,25,19,68,26,1,1559,MF,18.7,2,0,0,37,1,14,19,31,0,0,97,31,30,50.8
1561,DF,18.4,24,17,14,10,0,12,22,54.5,10,33,24,9,25,49,83,1,1561,DF,18.4,4,0,0,21,6,3,25,17,0,0,78,69,19,78.4
1564,MF,11.1,14,9,5,8,1,5,14,35.7,9,19,2,17,6,20,11,0,1564,MF,11.1,0,0,0,4,0,85,6,9,1,0,58,6,4,60.0
1568,DF,34.0,85,49,58,24,3,38,74,51.4,36,66,32,34,49,134,158,1,1568,DF,34.0,1,0,0,24,2,0,49,49,1,0,183,119,84,58.6
1569,MF,21.4,47,27,20,16,11,21,45,46.7,24,20,12,8,22,69,30,1,1569,MF,21.4,3,0,0,15,0,6,22,27,0,0,96,19,26,42.2
1570,"DF,MF",15.9,34,18,12,14,8,19,37,51.4,18,16,6,10,17,51,29,1,1570,"DF,MF",15.9,1,1,0,5,1,21,17,18,0,0,93,18,21,46.2
1572,MF,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1572,MF,0.2,0,0,0,0,0,1,0,0,0,0,2,0,0,
1575,DF,11.4,17,11,11,5,1,6,10,60.0,4,16,4,12,11,28,37,0,1575,DF,11.4,1,0,0,14,1,23,11,11,2,0,46,17,15,53.1
1576,MF,30.0,41,24,21,15,5,15,30,50.0,15,23,4,19,16,57,27,2,1576,MF,30.0,5,2,1,28,1,11,16,24,0,0,159,11,20,35.5
1577,MF,36.3,65,43,26,31,8,23,41,56.1,18,56,23,33,46,111,61,0,1577,MF,36.3,4,0,0,20,1,5,46,43,1,0,140,70,61,53.4
1578,DF,6.7,18,13,12,3,3,16,24,66.7,8,8,1,7,13,31,26,0,1578,DF,6.7,1,0,0,10,0,6,13,13,1,0,31,9,10,47.4
1581,MF,28.9,74,48,30,36,8,23,52,44.2,29,62,7,55,25,99,29,0,1581,MF,28.9,11,0,0,56,0,47,25,48,2,0,172,17,34,33.3
1583,MF,17.2,35,20,18,11,6,17,41,41.5,24,22,8,14,5,40,16,0,1583,MF,17.2,7,0,0,31,0,19,5,20,0,0,88,22,19,53.7
1584,MF,25.4,43,26,14,24,5,25,59,42.4,34,33,9,24,25,68,88,0,1584,MF,25.4,1,0,0,44,0,4,25,26,2,1,132,67,49,57.8
1588,"DF,MF",2.7,6,4,3,2,1,4,7,57.1,3,1,0,1,1,7,4,1,1588,"DF,MF",2.7,1,0,0,3,0,8,1,4,0,0,20,2,2,50.0
1590,DF,31.9,34,20,21,11,2,11,27,40.7,16,38,26,12,36,70,77,1,1590,DF,31.9,9,0,0,49,0,24,36,20,0,0,106,42,33,56.0
1594,DF,8.1,30,22,16,11,3,19,22,86.4,3,10,2,8,15,45,21,0,1594,DF,8.1,2,0,0,14,0,6,15,22,0,0,53,12,10,54.5
1595,DF,12.4,13,8,8,5,0,7,14,50.0,7,10,7,3,8,21,41,0,1595,DF,12.4,3,0,0,7,0,0,8,8,1,0,49,12,11,52.2
1596,MF,17.6,26,11,8,13,5,10,22,45.5,12,14,3,11,9,35,18,1,1596,MF,17.6,5,0,0,26,0,34,9,11,0,0,60,31,39,44.3
1597,MF,17.4,27,13,16,10,1,14,29,48.3,15,12,6,6,26,53,32,0,1597,MF,17.4,6,0,0,23,0,2,26,13,0,0,74,9,3,75.0
1598,MF,4.4,5,3,0,2,3,1,3,33.3,2,3,2,1,5,10,6,0,1598,MF,4.4,0,0,0,11,0,2,5,3,1,0,9,5,8,38.5
1600,DF,5.4,9,5,6,3,0,6,8,75.0,2,10,7,3,2,11,20,0,1600,DF,5.4,0,0,0,5,0,1,2,5,0,0,19,20,8,71.4
1601,"DF,MF",8.3,15,11,6,5,4,8,15,53.3,7,14,3,11,3,18,17,0,1601,"DF,MF",8.3,3,0,0,14,0,5,3,11,0,0,30,13,10,56.5
1602,MF,1.9,2,0,0,1,1,0,0,,0,1,0,1,0,2,0,0,1602,MF,1.9,1,0,0,4,0,4,0,0,0,0,7,0,3,0.0
1604,"DF,MF",2.5,8,5,6,1,1,4,5,80.0,1,6,0,6,1,9,3,0,1604,"DF,MF",2.5,0,0,0,3,0,20,1,5,0,0,11,3,1,75.0
1605,"MF,DF",0.8,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,3,0,1605,"MF,DF",0.8,0,0,0,2,0,3,0,1,0,0,1,2,1,66.7
1606,DF,3.9,9,6,5,4,0,6,10,60.0,4,8,6,2,4,13,11,1,1606,DF,3.9,2,0,0,5,0,0,4,6,0,0,18,5,3,62.5
1608,DF,12.8,7,6,4,3,0,3,13,23.1,10,10,2,8,7,14,33,0,1608,DF,12.8,1,0,0,6,0,22,7,6,0,0,43,9,12,42.9
1609,DF,25.2,22,10,11,11,0,12,18,66.7,6,28,17,11,25,47,76,0,1609,DF,25.2,4,0,0,26,0,14,25,10,3,0,95,39,38,50.6
1610,DF,25.1,56,39,26,24,6,42,71,59.2,29,28,6,22,15,71,44,0,1610,DF,25.1,5,0,0,22,5,121,15,39,0,0,124,13,16,44.8
1613,DF,29.1,41,25,34,7,0,22,34,64.7,12,40,25,15,37,78,115,1,1613,DF,29.1,7,0,0,37,0,4,37,25,1,0,98,41,20,67.2
1614,DF,14.7,18,10,10,7,1,5,16,31.3,11,16,12,4,10,28,95,0,1614,DF,14.7,5,0,0,17,0,1,10,10,0,0,49,31,18,63.3
1617,DF,27.1,32,20,23,9,0,14,27,51.9,13,34,21,13,33,65,129,2,1617,DF,27.1,6,0,0,28,0,1,33,20,0,1,117,56,43,56.6
