Player Name,Rating,League,Season
"82Kevin BehrensUnion Berlin, 34, FW",6.83,Bundesliga,2022-2023
"83Jan OlschowskyBorussia M.Gladbach, 23, Goalkeeper",6.83,Bundesliga,2022-2023
"84Georginio RutterHoffenheim, 22, AM(CR),FW",6.83,Bundesliga,2022-2023
"85Ihlas BebouHoffenheim, 30, M(CLR),FW",6.83,Bundesliga,2022-2023
"86Manuel NeuerBayern, 38, GK",6.82,Bundesliga,2022-2023
"87Karim OnisiwoMainz, 32, AM(CLR),FW",6.82,Bundesliga,2022-2023
"88Soichiro KozukiSchalke, 24, AM(R)",6.82,Bundesliga,2022-2023
"89Timo WernerRB Leipzig, 28, AM(CLR),FW",6.82,Bundesliga,2022-2023
"90Exequiel PalaciosLeverkusen, 26, M(C)",6.82,Bundesliga,2022-2023
"91Marius WolfBorussia Dortmund, 29, D(R),M(CLR)",6.81,Bundesliga,2022-2023
"92Aurélio ButaEintracht Frankfurt, 28, D(R),M(R)",6.81,Bundesliga,2022-2023
"93Manu KonéBorussia M.Gladbach, 23, DMC",6.81,Bundesliga,2022-2023
"94Philipp LienhartFreiburg, 28, D(C)",6.81,Bundesliga,2022-2023
"95Lukas KüblerFreiburg, 32, D(CLR),M(R)",6.81,Bundesliga,2022-2023
"96Lars StindlBorussia M.Gladbach, 36, M(CLR),FW",6.81,Bundesliga,2022-2023
"97Daichi KamadaEintracht Frankfurt, 28, AM(CLR),FW",6.8,Bundesliga,2022-2023
"98Rafal GikiewiczAugsburg, 37, GK",6.8,Bundesliga,2022-2023
"99Tomás KoubekAugsburg, 32, GK",6.8,Bundesliga,2022-2023
"100Mark FlekkenFreiburg, 31, GK",6.8,Bundesliga,2022-2023
"101Niklas SüleBorussia Dortmund, 29, D(CR)",6.8,Bundesliga,2022-2023
"102Julian RyersonBorussia Dortmund, 27, D(CLR),M(CLR)",6.8,Bundesliga,2022-2023
"103Nicolas HöflerFreiburg, 34, D(C),DMC",6.79,Bundesliga,2022-2023
"104Gregor KobelBorussia Dortmund, 27, GK",6.79,Bundesliga,2022-2023
"105Florian NiederlechnerAugsburg, 34, AM(CR),FW",6.79,Bundesliga,2022-2023
"106Josip JuranovicUnion Berlin, 29, D(LR),M(R)",6.79,Bundesliga,2022-2023
"107Jae-Sung LeeMainz, 32, AM(CLR),FW",6.78,Bundesliga,2022-2023
"108Koen CasteelsWolfsburg, 32, GK",6.78,Bundesliga,2022-2023
"109Christopher TrimmelUnion Berlin, 37, D(CR),M(R)",6.77,Bundesliga,2022-2023
"110Serhou GuirassyStuttgart, 28, AM(L),FW",6.76,Bundesliga,2022-2023
"111Benjamin HenrichsRB Leipzig, 27, D(LR),DMC,M(LR)",6.76,Bundesliga,2022-2023
"112Ermedin DemirovicAugsburg, 26, AM(CL),FW",6.76,Bundesliga,2022-2023
"113Stefan BellMainz, 33, D(CR)",6.76,Bundesliga,2022-2023
"114Abdou DialloRB Leipzig, 28, D(CL)",6.76,Bundesliga,2022-2023
"115Ko ItakuraBorussia M.Gladbach, 28, D(C),DMC",6.76,Bundesliga,2022-2023
"116Leandro BarreiroMainz, 25, DMC",6.75,Bundesliga,2022-2023
"117Gabriel VidovicBayern, 21, AM(L)",6.74,Bundesliga,2022-2023
"118Hrvoje SmolcicEintracht Frankfurt, 24, D(C)",6.73,Bundesliga,2022-2023
"119Ridle BakuWolfsburg, 26, D(R),M(CR)",6.73,Bundesliga,2022-2023
"120Moritz JenzSchalke, 25, D(C)",6.73,Bundesliga,2022-2023
"121AngeliñoHoffenheim, 28, D(CL),M(L)",6.73,Bundesliga,2022-2023
"122Marcin KaminskiSchalke, 33, D(C)",6.73,Bundesliga,2022-2023
"123Marius BülterSchalke, 31, D(R),M(CLR),FW",6.72,Bundesliga,2022-2023
"124TutaEintracht Frankfurt, 25, D(C),DMC",6.72,Bundesliga,2022-2023
"125Ivan OrdetsBochum, 32, D(C)",6.72,Bundesliga,2022-2023
"126Junior Dina EbimbeEintracht Frankfurt, 24, M(CLR)",6.71,Bundesliga,2022-2023
"127Dayot UpamecanoBayern, 26, D(C)",6.71,Bundesliga,2022-2023
"128Luca PellegriniEintracht Frankfurt, 25, D(L),M(L)",6.71,Bundesliga,2022-2023
"129John Anthony BrooksHoffenheim, 32, D(C)",6.71,Bundesliga,2022-2023
"130Jakub KaminskiWolfsburg, 22, M(LR)",6.7,Bundesliga,2022-2023
"131Marco RichterHertha Berlin, 27, M(CLR),FW",6.7,Bundesliga,2022-2023
"132Kevin AkpogumaHoffenheim, 29, D(CR),M(R)",6.7,Bundesliga,2022-2023
"133Oliver BaumannHoffenheim, 34, GK",6.7,Bundesliga,2022-2023
"134Jonas OmlinBorussia M.Gladbach, 31, GK",6.7,Bundesliga,2022-2023
"135Anthony LosillaBochum, 38, D(C),DMC",6.7,Bundesliga,2022-2023
"136Xaver SchlagerRB Leipzig, 27, M(C)",6.69,Bundesliga,2022-2023
"137Kerem DemirbayLeverkusen, 31, M(C)",6.69,Bundesliga,2022-2023
"138Hiroki ItoStuttgart, 25, D(CL)",6.69,Bundesliga,2022-2023
"139Anthony CaciMainz, 27, D(CLR),M(LR)",6.69,Bundesliga,2022-2023
"140Amine AdliLeverkusen, 24, AM(CLR),FW",6.69,Bundesliga,2022-2023
"141Mërgim BerishaAugsburg, 26, AM(C),FW",6.69,Bundesliga,2022-2023
"142Marco ReusBorussia Dortmund, 35, M(CLR),FW",6.69,Bundesliga,2022-2023
"143Nico ElvediBorussia M.Gladbach, 28, D(CLR)",6.69,Bundesliga,2022-2023
"144Eric MartelFC Koln, 22, D(C),DMC",6.68,Bundesliga,2022-2023
"145Davie SelkeFC Koln, 30, FW",6.68,Bundesliga,2022-2023
"146Ozan KabakHoffenheim, 24, D(C)",6.68,Bundesliga,2022-2023
"147Maximilian EggesteinFreiburg, 28, M(CR)",6.68,Bundesliga,2022-2023
"148Philipp MaxEintracht Frankfurt, 31, D(L),M(L)",6.68,Bundesliga,2022-2023
"149Jonas WindWolfsburg, 26, AM(C),FW",6.68,Bundesliga,2022-2023
"150Jamie GittensBorussia Dortmund, 20, AM(CL)",6.67,Bundesliga,2022-2023
"151Evan NdickaEintracht Frankfurt, 25, D(CL)",6.67,Bundesliga,2022-2023
"152Josko GvardiolRB Leipzig, 23, D(CL)",6.67,Bundesliga,2022-2023
"153Marco FriedlWerder Bremen, 26, D(CL),M(L)",6.67,Bundesliga,2022-2023
"154André HahnAugsburg, 34, AM(CLR),FW",6.67,Bundesliga,2022-2023
"155Piero HincapiéLeverkusen, 23, D(CL),M(L)",6.66,Bundesliga,2022-2023
"156Jesper LindstrømEintracht Frankfurt, 24, AM(CLR),FW",6.66,Bundesliga,2022-2023
"157Patrik SchickLeverkusen, 29, AM(R),FW",6.66,Bundesliga,2022-2023
"158Aarón MartínMainz, 27, D(L),M(L)",6.66,Bundesliga,2022-2023
"159Tom KraußSchalke, 23, DMC",6.66,Bundesliga,2022-2023
"160Micky van de VenWolfsburg, 23, D(CL)",6.66,Bundesliga,2022-2023
"161Suat SerdarHertha Berlin, 27, M(CLR)",6.66,Bundesliga,2022-2023
"162Maxence LacroixWolfsburg, 24, D(C)",6.66,Bundesliga,2022-2023
"163Christopher LenzEintracht Frankfurt, 30, D(L),M(L)",6.66,Bundesliga,2022-2023
"164Rani KhediraUnion Berlin, 31, D(C),DMC",6.66,Bundesliga,2022-2023
"165Mario GötzeEintracht Frankfurt, 32, M(CLR),FW",6.65,Bundesliga,2022-2023
"166Robin ZentnerMainz, 30, GK",6.65,Bundesliga,2022-2023
"167Marcel SabitzerBayern, 30, M(CLR),FW",6.65,Bundesliga,2022-2023
"168Chris FührichStuttgart, 27, M(CLR),FW",6.65,Bundesliga,2022-2023
"169Christian GünterFreiburg, 31, D(L),M(L)",6.65,Bundesliga,2022-2023
"170Andrej KramaricHoffenheim, 33, AM(CLR),FW",6.65,Bundesliga,2022-2023
"171Mohamed SimakanRB Leipzig, 24, D(CR)",6.65,Bundesliga,2022-2023
"172Maximilian MittelstädtHertha Berlin, 27, D(L),M(CL)",6.65,Bundesliga,2022-2023
"173Roland SallaiFreiburg, 27, M(CLR),FW",6.64,Bundesliga,2022-2023
"174Malick ThiawSchalke, 23, D(C)",6.64,Bundesliga,2022-2023
"175Clinton MolaStuttgart, 23, D(CLR)",6.64,Bundesliga,2022-2023
"176Leonardo BittencourtWerder Bremen, 31, M(CLR),FW",6.64,Bundesliga,2022-2023
"177Lucas HernándezBayern, 29, D(CL)",6.63,Bundesliga,2022-2023
"178Janik HabererUnion Berlin, 30, M(CLR),FW",6.63,Bundesliga,2022-2023
"179Edmond TapsobaLeverkusen, 26, D(C)",6.63,Bundesliga,2022-2023
"180David RaumRB Leipzig, 26, D(L),M(LR)",6.63,Bundesliga,2022-2023
"181Maya YoshidaSchalke, 36, D(CR)",6.63,Bundesliga,2022-2023
"182Mattias SvanbergWolfsburg, 26, M(CLR)",6.63,Bundesliga,2022-2023
"183André SilvaRB Leipzig, 29, FW",6.63,Bundesliga,2022-2023
"184Manuel RiemannBochum, 36, GK",6.63,Bundesliga,2022-2023
"185Janis BlaswichRB Leipzig, 33, GK",6.63,Bundesliga,2022-2023
"186Niklas SchmidtWerder Bremen, 26, M(C),FW",6.62,Bundesliga,2022-2023
"187Dominik KohrMainz, 31, D(C),DMC",6.62,Bundesliga,2022-2023
"188Jeffrey GouweleeuwAugsburg, 33, D(C)",6.62,Bundesliga,2022-2023
"189Yannick GerhardtWolfsburg, 30, D(L),M(CL)",6.62,Bundesliga,2022-2023
"190Silas Katompa MvumpaStuttgart, 26, M(CLR),FW",6.62,Bundesliga,2022-2023
"191Jirí PavlenkaWerder Bremen, 32, GK",6.62,Bundesliga,2022-2023
"192Dennis GeigerHoffenheim, 26, M(C)",6.61,Bundesliga,2022-2023
"193Djibril SowEintracht Frankfurt, 28, M(C)",6.61,Bundesliga,2022-2023
"194Aïssa LaïdouniUnion Berlin, 28, DMC",6.61,Bundesliga,2022-2023
"195Gil DiasStuttgart, 28, D(L),M(LR)",6.6,Bundesliga,2022-2023
"196Edimilson FernandesMainz, 28, D(CR),M(CR)",6.6,Bundesliga,2022-2023
"197Atakan KarazorStuttgart, 28, D(C),DMC",6.6,Bundesliga,2022-2023
"198Youssoufa MoukokoBorussia Dortmund, 20, FW",6.6,Bundesliga,2022-2023
"199Christopher Antwi-AdjeiBochum, 31, AM(CLR)",6.6,Bundesliga,2022-2023
"200Sebastiaan BornauwWolfsburg, 25, D(C)",6.6,Bundesliga,2022-2023
"201Stevan JoveticHertha Berlin, 35, AM(CL),FW",6.6,Bundesliga,2022-2023
"202Philipp FörsterBochum, 30, M(CLR),FW",6.6,Bundesliga,2022-2023
"203Alassane PléaBorussia M.Gladbach, 31, AM(CLR),FW",6.59,Bundesliga,2022-2023
"204Steffen TiggesFC Koln, 26, FW",6.59,Bundesliga,2022-2023
"205Sven UlreichBayern, 36, GK",6.59,Bundesliga,2022-2023
"206Niklas StarkWerder Bremen, 29, D(C),DMC",6.59,Bundesliga,2022-2023
"207Alexander MeyerBorussia Dortmund, 33, GK",6.58,Bundesliga,2022-2023
"208Jonathan TahLeverkusen, 29, D(C)",6.58,Bundesliga,2022-2023
"209Diogo LeiteUnion Berlin, 26, D(C)",6.58,Bundesliga,2022-2023
"210Grischa PrömelHoffenheim, 30, M(C)",6.58,Bundesliga,2022-2023
"211Giovanni ReynaBorussia Dortmund, 22, AM(CLR)",6.58,Bundesliga,2022-2023
"212Chidera EjukeHertha Berlin, 27, AM(CLR),FW",6.58,Bundesliga,2022-2023
"213Amos PieperWerder Bremen, 27, D(C)",6.58,Bundesliga,2022-2023
"214Timo BaumgartlUnion Berlin, 28, D(C)",6.57,Bundesliga,2022-2023
"215Julian WeiglBorussia M.Gladbach, 29, D(C),DMC",6.57,Bundesliga,2022-2023
"216Rubén VargasAugsburg, 26, AM(CLR),FW",6.57,Bundesliga,2022-2023
"217Dion BeljoAugsburg, 22, FW",6.57,Bundesliga,2022-2023
"218Keven SchlotterbeckBochum, 27, D(C)",6.57,Bundesliga,2022-2023
"219Robert SkovHoffenheim, 28, D(L),M(CLR)",6.57,Bundesliga,2022-2023
"220Almamy TouréEintracht Frankfurt, 28, D(CR),M(R)",6.57,Bundesliga,2022-2023
"221Waldemar AntonStuttgart, 28, D(CR),DMC",6.57,Bundesliga,2022-2023
"222Anthony JungWerder Bremen, 33, D(CL),M(L)",6.56,Bundesliga,2022-2023
"223Jordan SiebatcheuUnion Berlin, 28, FW",6.56,Bundesliga,2022-2023
"224Jonjoe KennyHertha Berlin, 27, D(LR),M(R)",6.55,Bundesliga,2022-2023
"225Dejan LjubicicFC Koln, 27, M(CLR)",6.55,Bundesliga,2022-2023
"226Dan-Axel ZagadouStuttgart, 25, D(CL)",6.55,Bundesliga,2022-2023
"227Danilo SoaresBochum, 33, D(L),M(L)",6.55,Bundesliga,2022-2023
"228Mahmoud DahoudBorussia Dortmund, 29, M(C)",6.54,Bundesliga,2022-2023
"229Erhan MasovicBochum, 26, D(C),DMC",6.54,Bundesliga,2022-2023
"230Felix UduokhaiAugsburg, 27, D(C)",6.54,Bundesliga,2022-2023
"231Levin ÖztunaliUnion Berlin, 28, M(CLR)",6.54,Bundesliga,2022-2023
"232Felix PasslackBorussia Dortmund, 26, D(LR),M(CR)",6.54,Bundesliga,2022-2023
"233Péter GulácsiRB Leipzig, 34, GK",6.54,Bundesliga,2022-2023
"234Mu'nas DabburHoffenheim, 32, AM(C),FW",6.53,Bundesliga,2022-2023
"235Lukás HrádeckyLeverkusen, 35, GK",6.53,Bundesliga,2022-2023
"236Emil ForsbergRB Leipzig, 33, AM(CLR),FW",6.53,Bundesliga,2022-2023
"237Cédric BrunnerSchalke, 31, D(CR)",6.53,Bundesliga,2022-2023
"238Konstantinos StafylidisBochum, 31, D(CLR),DMC,M(L)",6.52,Bundesliga,2022-2023
"239Sebastian RodeEintracht Frankfurt, 34, D(R),M(C)",6.52,Bundesliga,2022-2023
"240Tanguy CoulibalyStuttgart, 24, M(CLR),FW",6.52,Bundesliga,2022-2023
"241Tobias SippelBorussia M.Gladbach, 36, GK",6.52,Bundesliga,2022-2023
"242Silvan WidmerMainz, 31, D(CR),M(R)",6.52,Bundesliga,2022-2023
"243Thomas MeunierBorussia Dortmund, 33, D(R),M(R)",6.51,Bundesliga,2022-2023
"244Omar MarmoushWolfsburg, 26, AM(CL),FW",6.51,Bundesliga,2022-2023
"245Ansgar KnauffEintracht Frankfurt, 23, M(CLR)",6.51,Bundesliga,2022-2023
"246Christian GroßWerder Bremen, 36, D(C),DMC",6.51,Bundesliga,2022-2023
"247Milos VeljkovicWerder Bremen, 29, D(C),DMC",6.51,Bundesliga,2022-2023
"248Kristijan JakicEintracht Frankfurt, 27, D(CR),DMC,M(R)",6.51,Bundesliga,2022-2023
"249Paul JaeckelUnion Berlin, 26, D(C),DMC",6.5,Bundesliga,2022-2023
"250Lukas KlostermannRB Leipzig, 28, D(CLR),M(R)",6.5,Bundesliga,2022-2023
"251Marcel HalstenbergRB Leipzig, 33, D(CL),M(L)",6.5,Bundesliga,2022-2023
"252Niko GießelmannUnion Berlin, 33, D(CL),M(L)",6.5,Bundesliga,2022-2023
"253Adam HlozekLeverkusen, 22, AM(CLR),FW",6.5,Bundesliga,2022-2023
"254Odilon KossounouLeverkusen, 24, D(CR)",6.5,Bundesliga,2022-2023
"255Lennart GrillUnion Berlin, 26, GK",6.5,Bundesliga,2022-2023
"256Kenneth SchmidtFreiburg, 22, Defender",6.49,Bundesliga,2022-2023
"257Tiago TomásStuttgart, 22, AM(CLR),FW",6.49,Bundesliga,2022-2023
"258Arijon IbrahimovicBayern, 19, AM(L)",6.49,Bundesliga,2022-2023
"259Simon TeroddeSchalke, 36, FW",6.49,Bundesliga,2022-2023
"260Salih ÖzcanBorussia Dortmund, 27, M(C)",6.49,Bundesliga,2022-2023
"261Christoph KramerBorussia M.Gladbach, 33, M(C)",6.49,Bundesliga,2022-2023
"262Linton MainaFC Koln, 25, M(CLR),FW",6.49,Bundesliga,2022-2023
"263Josuha GuilavoguiWolfsburg, 34, D(C),M(C)",6.48,Bundesliga,2022-2023
"264Jérôme RoussillonUnion Berlin, 32, D(L),M(L)",6.48,Bundesliga,2022-2023
"265Jens StageWerder Bremen, 28, M(C)",6.48,Bundesliga,2022-2023
"266Lukas NmechaWolfsburg, 26, AM(CR),FW",6.48,Bundesliga,2022-2023
"267Bartol FranjicWolfsburg, 25, D(L),DMC",6.48,Bundesliga,2022-2023
"268Jonathan BurkardtMainz, 24, AM(CR),FW",6.48,Bundesliga,2022-2023
"269Arne EngelsAugsburg, 21, M(C)",6.48,Bundesliga,2022-2023
"270Jan ThielmannFC Koln, 22, D(R),M(CLR),FW",6.48,Bundesliga,2022-2023
"271Joe ScallyBorussia M.Gladbach, 22, D(CLR),M(LR)",6.47,Bundesliga,2022-2023
"272Naouirou AhamadaStuttgart, 22, M(C)",6.47,Bundesliga,2022-2023
"273Maxim LeitschMainz, 26, D(C)",6.47,Bundesliga,2022-2023
"274Tim SkarkeSchalke, 28, AM(CLR),FW",6.47,Bundesliga,2022-2023
"275Dominique HeintzBochum, 31, D(CL)",6.47,Bundesliga,2022-2023
"276Amadou HaidaraRB Leipzig, 27, M(CLR)",6.47,Bundesliga,2022-2023
"277Pavel KaderábekHoffenheim, 32, D(R),M(LR)",6.47,Bundesliga,2022-2023
"278Benno SchmitzFC Koln, 30, D(CLR)",6.46,Bundesliga,2022-2023
"279Arne MaierAugsburg, 26, M(CR)",6.46,Bundesliga,2022-2023
"280Kelvin YeboahAugsburg, 24, FW",6.45,Bundesliga,2022-2023
"281Marvin PlattenhardtHertha Berlin, 33, D(L),M(L)",6.45,Bundesliga,2022-2023
"282Genki HaraguchiStuttgart, 33, M(CLR)",6.45,Bundesliga,2022-2023
"283Ibrahim MazaHertha Berlin, 19, AM(C)",6.45,Bundesliga,2022-2023
"284Josha VagnomanStuttgart, 24, D(LR),M(R)",6.44,Bundesliga,2022-2023
"285Florian NeuhausBorussia M.Gladbach, 27, M(C)",6.44,Bundesliga,2022-2023
"286Anthony ModesteBorussia Dortmund, 36, FW",6.44,Bundesliga,2022-2023
"287Sardar AzmounLeverkusen, 30, AM(C),FW",6.44,Bundesliga,2022-2023
"288Kevin TrappEintracht Frankfurt, 34, GK",6.44,Bundesliga,2022-2023
"289Kiliann SildilliaFreiburg, 22, D(CR),M(R)",6.43,Bundesliga,2022-2023
"290Kevin VogtHoffenheim, 33, D(CR),M(C)",6.43,Bundesliga,2022-2023
"291Michael FreySchalke, 30, FW",6.43,Bundesliga,2022-2023
"292Henning MatricianiSchalke, 24, D(CLR)",6.42,Bundesliga,2022-2023
"293Florian NiederlechnerHertha Berlin, 34, AM(CR),FW",6.42,Bundesliga,2022-2023
"294Wilfried KangaHertha Berlin, 26, FW",6.42,Bundesliga,2022-2023
"295Enzo MillotStuttgart, 22, M(CR)",6.42,Bundesliga,2022-2023
"296Takuma AsanoBochum, 30, AM(CLR),FW",6.42,Bundesliga,2022-2023
"297Iago BorduchiAugsburg, 27, D(L),M(L)",6.42,Bundesliga,2022-2023
"298Pascal KlemensHertha Berlin, 19, D(C),DMC",6.42,Bundesliga,2022-2023
"299Nadiem AmiriLeverkusen, 28, M(CLR)",6.42,Bundesliga,2022-2023
"300Callum Hudson-OdoiLeverkusen, 24, M(CLR)",6.42,Bundesliga,2022-2023
"301Jere UronenSchalke, 30, D(L),M(L)",6.42,Bundesliga,2022-2023
"302Carlos GruezoAugsburg, 29, DMC",6.42,Bundesliga,2022-2023
"303Marcus IngvartsenMainz, 29, AM(CR),FW",6.42,Bundesliga,2022-2023
"304Charles AránguizLeverkusen, 35, M(C)",6.41,Bundesliga,2022-2023
"305Genki HaraguchiUnion Berlin, 33, M(CLR)",6.41,Bundesliga,2022-2023
"306Yussuf PoulsenRB Leipzig, 30, AM(CR),FW",6.41,Bundesliga,2022-2023
"307Mads PedersenAugsburg, 28, D(LR),M(CL)",6.41,Bundesliga,2022-2023
"308Dominick DrexlerSchalke, 34, AM(CLR)",6.41,Bundesliga,2022-2023
"309Alexander HackMainz, 31, D(C)",6.41,Bundesliga,2022-2023
"310Paul SeguinUnion Berlin, 29, D(R),DMC",6.41,Bundesliga,2022-2023
"311Tobias MohrSchalke, 29, D(L),M(CL)",6.41,Bundesliga,2022-2023
"312Éder BalantaSchalke, 31, D(C),DMC",6.41,Bundesliga,2022-2023
"313Kevin KamplRB Leipzig, 34, M(CLR)",6.41,Bundesliga,2022-2023
"314Nikola SoldoFC Koln, 24, D(C)",6.41,Bundesliga,2022-2023
"315Filip UremovicHertha Berlin, 28, D(CR)",6.39,Bundesliga,2022-2023
"316Elvis RexhbeçajAugsburg, 27, M(C)",6.39,Bundesliga,2022-2023
"317Oliver ChristensenHertha Berlin, 25, GK",6.39,Bundesliga,2022-2023
"318Danny da CostaMainz, 31, D(CR),M(R)",6.39,Bundesliga,2022-2023
"319Marvin FriedrichBorussia M.Gladbach, 29, D(C)",6.39,Bundesliga,2022-2023
"320Makoto HasebeEintracht Frankfurt, 41, D(CR),M(CR)",6.39,Bundesliga,2022-2023
"321Kristian PedersenFC Koln, 30, D(CL),M(L)",6.38,Bundesliga,2022-2023
"322Mitchel BakkerLeverkusen, 24, D(L),M(L)",6.38,Bundesliga,2022-2023
"323Hugo NovoaRB Leipzig, 22, Forward",6.38,Bundesliga,2022-2023
"324András SchäferUnion Berlin, 25, M(C)",6.38,Bundesliga,2022-2023
"325Stanley NsokiHoffenheim, 25, D(CL)",6.38,Bundesliga,2022-2023
"326Kevin ParedesWolfsburg, 21, D(L),M(L)",6.38,Bundesliga,2022-2023
"327Alex KrálSchalke, 26, M(C)",6.38,Bundesliga,2022-2023
"328Angelo StillerHoffenheim, 23, DMC",6.37,Bundesliga,2022-2023
"329Robert GumnyAugsburg, 26, D(CLR),M(R)",6.37,Bundesliga,2022-2023
"330Nikolas NarteyStuttgart, 24, DMC,M(L)",6.37,Bundesliga,2022-2023
"331Yann SommerBayern, 36, GK",6.37,Bundesliga,2022-2023
"332Romano SchmidWerder Bremen, 25, AM(CLR),FW",6.37,Bundesliga,2022-2023
"333Manuel GuldeFreiburg, 34, D(C)",6.37,Bundesliga,2022-2023
"334Florian FlickSchalke, 24, DMC",6.37,Bundesliga,2022-2023
"335Niklas DorschAugsburg, 27, M(C)",6.36,Bundesliga,2022-2023
"336Pascal StenzelStuttgart, 28, D(CR),M(R)",6.36,Bundesliga,2022-2023
"337Mathys TelBayern, 19, AM(L)",6.36,Bundesliga,2022-2023
"338Luca NetzBorussia M.Gladbach, 21, D(L),M(L)",6.35,Bundesliga,2022-2023
"339Alexander SchwolowSchalke, 32, GK",6.35,Bundesliga,2022-2023
"340Sebastian PolterSchalke, 33, AM(R),FW",6.35,Bundesliga,2022-2023
"341Tolga CigerciHertha Berlin, 32, M(CLR)",6.35,Bundesliga,2022-2023
"342Josip StanisicBayern, 24, D(CR),M(R)",6.35,Bundesliga,2022-2023
"343Cristian GamboaBochum, 35, D(R),M(R)",6.34,Bundesliga,2022-2023
"344Kilian FischerWolfsburg, 24, D(R),M(R)",6.34,Bundesliga,2022-2023
"345Sepp van den BergSchalke, 23, D(CR),M(R)",6.34,Bundesliga,2022-2023
"346Daley SinkgravenLeverkusen, 29, D(L),M(CL)",6.34,Bundesliga,2022-2023
"347Sebastian RudyHoffenheim, 34, D(R),M(CR)",6.34,Bundesliga,2022-2023
"348Kevin SchadeFreiburg, 23, AM(LR),FW",6.33,Bundesliga,2022-2023
"349Josip BrekaloWolfsburg, 26, AM(CLR),FW",6.33,Bundesliga,2022-2023
"350Gerrit HoltmannBochum, 29, D(L),M(LR)",6.33,Bundesliga,2022-2023
"351Kenan KaramanSchalke, 30, AM(CLR),FW",6.33,Bundesliga,2022-2023
"352Marvin SchwäbeFC Koln, 29, GK",6.33,Bundesliga,2022-2023
"353Maximilian BauerAugsburg, 25, D(C)",6.33,Bundesliga,2022-2023
"354Jessic NgankamHertha Berlin, 24, FW",6.33,Bundesliga,2022-2023
"355Fredrik JensenAugsburg, 27, AM(CLR),FW",6.33,Bundesliga,2022-2023
"356Reece OxfordAugsburg, 26, D(C),DMC",6.32,Bundesliga,2022-2023
"357Jean-Paul BoëtiusHertha Berlin, 30, AM(CL),FW",6.32,Bundesliga,2022-2023
"358Ivan SunjicHertha Berlin, 28, DMC",6.32,Bundesliga,2022-2023
"359Raphael FrambergerAugsburg, 29, D(R),M(R)",6.32,Bundesliga,2022-2023
"360Noah WeißhauptFreiburg, 23, M(L)",6.32,Bundesliga,2022-2023
"361Keven SchlotterbeckFreiburg, 27, D(C)",6.32,Bundesliga,2022-2023
"362Ilia GruevWerder Bremen, 24, DMC",6.31,Bundesliga,2022-2023
"363Davie SelkeHertha Berlin, 30, FW",6.31,Bundesliga,2022-2023
"364Mehmet AydinSchalke, 23, D(R),M(R)",6.31,Bundesliga,2022-2023
"365Lee BuchananWerder Bremen, 23, D(CL),M(L)",6.31,Bundesliga,2022-2023
"366Florian DietzFC Koln, 26, Forward",6.3,Bundesliga,2022-2023
"367Márton DárdaiHertha Berlin, 23, D(C),DMC",6.3,Bundesliga,2022-2023
"368Thomas OuwejanSchalke, 28, D(L),M(CL)",6.3,Bundesliga,2022-2023
"369Denis HuseinbasicFC Koln, 23, M(C)",6.3,Bundesliga,2022-2023
"370Fabian BredlowStuttgart, 29, GK",6.3,Bundesliga,2022-2023
"371David ColinaAugsburg, 24, Defender",6.3,Bundesliga,2022-2023
"372Merlin RöhlFreiburg, 22, M(C)",6.3,Bundesliga,2022-2023
"373Max KruseWolfsburg, 36, M(CLR),FW",6.3,Bundesliga,2022-2023
"374Ryan GravenberchBayern, 22, DMC",6.29,Bundesliga,2022-2023
"375Kingsley SchindlerFC Koln, 31, D(R),M(R),FW",6.29,Bundesliga,2022-2023
"376Finn BeckerHoffenheim, 24, M(C)",6.29,Bundesliga,2022-2023
"377Rafael BorréEintracht Frankfurt, 29, AM(C),FW",6.29,Bundesliga,2022-2023
"378Maximilian PhilippWerder Bremen, 30, AM(CLR),FW",6.29,Bundesliga,2022-2023
"379Stefan LainerBorussia M.Gladbach, 32, D(R),M(R)",6.29,Bundesliga,2022-2023
"380Daniel-Kofi KyerehFreiburg, 28, AM(CLR),FW",6.29,Bundesliga,2022-2023
"381Dimitrios LimniosFC Koln, 26, AM(LR)",6.29,Bundesliga,2022-2023
"382Tom RotheBorussia Dortmund, 20, D(L),M(L)",6.29,Bundesliga,2022-2023
"383Yannik KeitelFreiburg, 25, D(C),DMC",6.28,Bundesliga,2022-2023
"384PaulinhoLeverkusen, 24, AM(CLR),FW",6.28,Bundesliga,2022-2023
"385Thorgan HazardBorussia Dortmund, 31, M(CLR),FW",6.28,Bundesliga,2022-2023
"386Sven MichelUnion Berlin, 34, AM(CL),FW",6.28,Bundesliga,2022-2023
"387Paul WannerBayern, 19, AM(CR)",6.28,Bundesliga,2022-2023
"388Aymen BarkokMainz, 26, M(CR)",6.27,Bundesliga,2022-2023
"389Morten ThorsbyUnion Berlin, 28, M(CLR)",6.27,Bundesliga,2022-2023
"390Jordi Osei-TutuBochum, 26, D(R),M(LR)",6.27,Bundesliga,2022-2023
"391Darko ChurlinovStuttgart, 24, M(LR),FW",6.27,Bundesliga,2022-2023
"392Veit StangeHertha Berlin, 21, Midfielder",6.27,Bundesliga,2022-2023
"393Paxten AaronsonEintracht Frankfurt, 21, M(CL)",6.27,Bundesliga,2022-2023
"394Renato VeigaAugsburg, 21, D(CL)",6.27,Bundesliga,2022-2023
"395Nelson WeiperMainz, 19, Forward",6.26,Bundesliga,2022-2023
"396Sargis AdamyanFC Koln, 31, AM(CLR),FW",6.26,Bundesliga,2022-2023
