Player Name,Rating,League,Season
"47Oleksandr ZinchenkoMan City, 28, D(L),M(CLR)",7.05,Premier League,2021-2022
"48Mateo KovacicChelsea, 30, M(CL)",7.04,Premier League,2021-2022
"49Bruno GuimarãesNewcastle, 27, DMC",7.04,Premier League,2021-2022
"50Bruno FernandesMan Utd, 30, M(CLR),FW",7.03,Premier League,2021-2022
"51Trevoh ChalobahChelsea, 25, D(CR),DMC",7.03,Premier League,2021-2022
"52Kostas TsimikasLiverpool, 28, D(L)",7.03,Premier League,2021-2022
"53Caoimhín KelleherLiverpool, 26, GK",7.02,Premier League,2021-2022
"54KepaChelsea, 30, GK",7.02,Premier League,2021-2022
"55James Ward-ProwseSouthampton, 30, M(CR)",7.01,Premier League,2021-2022
"56Toti GomesWolves, 26, D(CL)",7.01,Premier League,2021-2022
"57Christian NørgaardBrentford, 30, D(C),DMC",7.0,Premier League,2021-2022
"58N'Golo KantéChelsea, 33, M(C)",7.0,Premier League,2021-2022
"59FabinhoLiverpool, 31, D(CR),DMC",7.0,Premier League,2021-2022
"60Riyad MahrezMan City, 33, AM(CLR),FW",7.0,Premier League,2021-2022
"61Paul PogbaMan Utd, 31, M(CL)",7.0,Premier League,2021-2022
"62Yves BissoumaBrighton, 28, M(C)",6.99,Premier League,2021-2022
"63Matt TargettNewcastle, 29, D(L),M(L)",6.99,Premier League,2021-2022
"64Wilfried ZahaCrystal Palace, 32, AM(LR),FW",6.99,Premier League,2021-2022
"65Mason GreenwoodMan Utd, 23, AM(CLR),FW",6.98,Premier League,2021-2022
"66Dan BurnNewcastle, 32, D(CL),M(L)",6.98,Premier League,2021-2022
"67Tomás SoucekWest Ham, 29, M(C)",6.98,Premier League,2021-2022
"68Ethan PinnockBrentford, 31, D(C)",6.97,Premier League,2021-2022
"69James TarkowskiBurnley, 32, D(C)",6.97,Premier League,2021-2022
"70RaphinhaLeeds, 28, AM(CLR),FW",6.97,Premier League,2021-2022
"71Matt DohertyTottenham, 33, D(CLR),M(LR)",6.96,Premier League,2021-2022
"72RicharlisonEverton, 27, AM(CLR),FW",6.96,Premier League,2021-2022
"73Philippe CoutinhoAston Villa, 32, M(CLR)",6.96,Premier League,2021-2022
"74JorginhoChelsea, 33, DMC",6.96,Premier League,2021-2022
"75Rayan Aït-NouriWolves, 23, D(L),M(L)",6.96,Premier League,2021-2022
"76Rúben DiasMan City, 27, D(C)",6.96,Premier League,2021-2022
"77Thomas ParteyArsenal, 31, D(R),M(CR)",6.96,Premier League,2021-2022
"78Dwight McNeilBurnley, 25, M(CLR)",6.96,Premier League,2021-2022
"79Wilfred NdidiLeicester, 28, D(C),M(C)",6.95,Premier League,2021-2022
"80Sergio ReguilónTottenham, 28, D(L),M(L)",6.95,Premier League,2021-2022
"81Jamie VardyLeicester, 38, AM(L),FW",6.95,Premier League,2021-2022
"82Marc CucurellaBrighton, 26, D(CL),M(L)",6.94,Premier League,2021-2022
"83Michail AntonioWest Ham, 34, D(R),M(CLR),FW",6.94,Premier League,2021-2022
"84Adama TraoréWolves, 29, M(CLR),FW",6.94,Premier League,2021-2022
"85Lucas DigneAston Villa, 31, D(CL),M(L)",6.94,Premier League,2021-2022
"86Cristian RomeroTottenham, 26, D(C)",6.92,Premier League,2021-2022
"87Hakim ZiyechChelsea, 31, M(CLR)",6.92,Premier League,2021-2022
"88Jason SteeleBrighton, 34, GK",6.92,Premier League,2021-2022
"89Nathan AkéMan City, 30, D(CL),DMC",6.92,Premier League,2021-2022
"90Dominic Calvert-LewinEverton, 27, AM(L),FW",6.92,Premier League,2021-2022
"91Ben MeeBurnley, 35, D(CL)",6.91,Premier League,2021-2022
"92Aymeric LaporteMan City, 30, D(CL)",6.91,Premier League,2021-2022
"93Aaron Wan-BissakaMan Utd, 27, D(LR),M(R)",6.91,Premier League,2021-2022
"94Matty CashAston Villa, 27, D(R),M(CLR)",6.91,Premier League,2021-2022
"95Ricardo PereiraLeicester, 31, D(LR),M(R)",6.91,Premier League,2021-2022
"96Martin ØdegaardArsenal, 26, AM(CR)",6.91,Premier League,2021-2022
"97Youri TielemansLeicester, 27, M(C)",6.9,Premier League,2021-2022
"98Neco WilliamsLiverpool, 23, D(LR),M(LR)",6.9,Premier League,2021-2022
"99Ollie WatkinsAston Villa, 29, AM(LR),FW",6.9,Premier League,2021-2022
"100Leandro TrossardBrighton, 30, M(CLR),FW",6.9,Premier League,2021-2022
"101Scott McTominayMan Utd, 28, D(C),M(C)",6.89,Premier League,2021-2022
"102Alex TellesMan Utd, 32, D(CL),M(L)",6.89,Premier League,2021-2022
"103Andreas ChristensenChelsea, 28, D(C),DMC",6.89,Premier League,2021-2022
"104Nathan CollinsBurnley, 23, D(CR)",6.89,Premier League,2021-2022
"105Ibrahima KonatéLiverpool, 25, D(C)",6.89,Premier League,2021-2022
"106Emmanuel DennisWatford, 27, M(CLR),FW",6.89,Premier League,2021-2022
"107Shane DuffyBrighton, 33, D(C)",6.88,Premier League,2021-2022
"108Maximilian KilmanWolves, 27, D(C)",6.87,Premier League,2021-2022
"109Ruben Loftus-CheekChelsea, 29, M(CLR)",6.87,Premier League,2021-2022
"110Alisson BeckerLiverpool, 32, GK",6.87,Premier League,2021-2022
"111Wesley FofanaLeicester, 24, D(C)",6.87,Premier League,2021-2022
"112Saïd BenrahmaWest Ham, 29, AM(CLR)",6.87,Premier League,2021-2022
"113FredMan Utd, 31, M(C)",6.87,Premier League,2021-2022
"114Oriol RomeuSouthampton, 33, DMC",6.87,Premier League,2021-2022
"115Hassane KamaraWatford, 30, D(L),M(LR)",6.86,Premier League,2021-2022
"116Jordan HendersonLiverpool, 34, D(C),M(CLR)",6.86,Premier League,2021-2022
"117Davinson SánchezTottenham, 28, D(C)",6.86,Premier League,2021-2022
"118Josh BrownhillBurnley, 29, M(CR)",6.86,Premier League,2021-2022
"119Curtis JonesLiverpool, 24, M(CL)",6.86,Premier League,2021-2022
"120Gabriel MartinelliArsenal, 23, AM(LR),FW",6.86,Premier League,2021-2022
"121Diogo DalotMan Utd, 25, D(LR),M(LR)",6.86,Premier League,2021-2022
"122Liam CooperLeeds, 33, D(C)",6.85,Premier League,2021-2022
"123Emerson RoyalTottenham, 26, D(CLR),M(R)",6.85,Premier League,2021-2022
"124Antonio RüdigerChelsea, 31, D(CLR)",6.85,Premier League,2021-2022
"125Kai HavertzChelsea, 25, M(CR),FW",6.85,Premier League,2021-2022
"126Roberto FirminoLiverpool, 33, M(CLR),FW",6.85,Premier League,2021-2022
"127Rúben NevesWolves, 27, DMC",6.85,Premier League,2021-2022
"128James McArthurCrystal Palace, 37, M(CLR)",6.84,Premier League,2021-2022
"129Romain SaïssWolves, 34, D(C),DMC",6.84,Premier League,2021-2022
"130Mohammed SalisuSouthampton, 25, D(CL)",6.83,Premier League,2021-2022
"131Kyle Walker-PetersSouthampton, 27, D(LR),M(LR)",6.83,Premier League,2021-2022
"132Takehiro TomiyasuArsenal, 26, D(CLR)",6.83,Premier League,2021-2022
"133Romelu LukakuChelsea, 31, AM(R),FW",6.83,Premier League,2021-2022
"134JoelintonNewcastle, 28, AM(CLR),FW",6.82,Premier League,2021-2022
"135Nélson SemedoWolves, 31, D(CLR),M(R)",6.82,Premier League,2021-2022
"136Charlie TaylorBurnley, 31, D(CL),M(L)",6.82,Premier League,2021-2022
"137Ross BarkleyChelsea, 31, M(CLR)",6.82,Premier League,2021-2022
"138César AzpilicuetaChelsea, 35, D(CLR),M(R)",6.81,Premier League,2021-2022
"139José SáWolves, 32, GK",6.81,Premier League,2021-2022
"140Nick PopeBurnley, 32, GK",6.81,Premier League,2021-2022
"141Jan BednarekSouthampton, 28, D(C)",6.81,Premier League,2021-2022
"142Lucas MouraTottenham, 32, AM(CLR),FW",6.81,Premier League,2021-2022
"143Dan BurnBrighton, 32, D(CL),M(L)",6.8,Premier League,2021-2022
"144Pablo FornalsWest Ham, 28, M(CLR)",6.8,Premier League,2021-2022
"145David RayaBrentford, 29, GK",6.8,Premier League,2021-2022
"146Joël VeltmanBrighton, 33, D(CR),M(R)",6.8,Premier League,2021-2022
"147Lucas DigneEverton, 31, D(CL),M(L)",6.8,Premier League,2021-2022
"148Hugo LlorisTottenham, 38, GK",6.79,Premier League,2021-2022
"149Calum ChambersAston Villa, 30, D(CR),DMC",6.79,Premier League,2021-2022
"150Pascal GroßBrighton, 33, D(LR),M(CR),FW",6.79,Premier League,2021-2022
"151Harvey BarnesLeicester, 27, AM(CL)",6.79,Premier League,2021-2022
"152Naby KeïtaLiverpool, 30, M(C)",6.79,Premier League,2021-2022
"153Raphaël VaraneMan Utd, 31, D(C)",6.78,Premier League,2021-2022
"154Demarai GrayEverton, 28, AM(CLR),FW",6.78,Premier League,2021-2022
"155Stuart DallasLeeds, 33, D(LR),M(CLR)",6.78,Premier League,2021-2022
"156João PedroWatford, 23, AM(CL),FW",6.78,Premier League,2021-2022
"157Daniel PodenceWolves, 29, AM(CLR),FW",6.78,Premier League,2021-2022
"158Ben WhiteArsenal, 27, D(CR),DMC",6.78,Premier League,2021-2022
"159Douglas LuizAston Villa, 26, M(C)",6.77,Premier League,2021-2022
"160Ben DaviesTottenham, 31, D(CL),M(L)",6.77,Premier League,2021-2022
"161Callum Hudson-OdoiChelsea, 24, M(CLR)",6.77,Premier League,2021-2022
"162Eric DierTottenham, 31, D(CR),DMC",6.77,Premier League,2021-2022
"163Jacob RamseyAston Villa, 23, AM(CLR)",6.77,Premier League,2021-2022
"164Kieran TierneyArsenal, 27, D(CL),M(L)",6.77,Premier League,2021-2022
"165Marc GuéhiCrystal Palace, 24, D(C)",6.76,Premier League,2021-2022
"166Pontus JanssonBrentford, 34, D(C)",6.76,Premier League,2021-2022
"167Lukasz FabianskiWest Ham, 39, GK",6.76,Premier League,2021-2022
"168Jonny EvansLeicester, 37, D(CL)",6.76,Premier League,2021-2022
"169Malang SarrChelsea, 26, D(CL)",6.76,Premier League,2021-2022
"170Tyrick MitchellCrystal Palace, 25, D(L),M(L)",6.75,Premier League,2021-2022
"171Alexis Mac AllisterBrighton, 26, M(CL),FW",6.75,Premier League,2021-2022
"172MarçalWolves, 35, D(CL),M(L)",6.75,Premier League,2021-2022
"173Aaron CresswellWest Ham, 35, D(CL),M(L)",6.75,Premier League,2021-2022
"174Emiliano BuendíaAston Villa, 28, M(CLR),FW",6.75,Premier League,2021-2022
"175Gabriel MagalhãesArsenal, 27, D(C)",6.74,Premier League,2021-2022
"176Kurt ZoumaWest Ham, 30, D(CR)",6.74,Premier League,2021-2022
"177Luke ThomasLeicester, 23, D(L),M(L)",6.74,Premier League,2021-2022
"178Emile Smith RoweArsenal, 24, AM(CL)",6.74,Premier League,2021-2022
"179Pierre-Emerick AubameyangArsenal, 35, M(CLR),FW",6.74,Premier League,2021-2022
"180JonnyWolves, 30, D(CLR),M(LR)",6.74,Premier League,2021-2022
"181Asmir BegovicEverton, 37, GK",6.74,Premier League,2021-2022
"182Bryan MbeumoBrentford, 25, AM(LR),FW",6.74,Premier League,2021-2022
"183Çaglar SöyüncüLeicester, 28, D(C)",6.74,Premier League,2021-2022
"184Kasper SchmeichelLeicester, 38, GK",6.74,Premier League,2021-2022
"185Tyrone MingsAston Villa, 31, D(CL)",6.74,Premier League,2021-2022
"186Alexandre LacazetteArsenal, 33, M(CLR),FW",6.74,Premier League,2021-2022
"187Tino LivramentoSouthampton, 22, D(LR)",6.73,Premier League,2021-2022
"188Lewis DunkBrighton, 33, D(C)",6.73,Premier League,2021-2022
"189Kyle WalkerMan City, 34, D(CR),M(R)",6.73,Premier League,2021-2022
"190Kristoffer AjerBrentford, 26, D(CLR),DMC",6.73,Premier League,2021-2022
"191Vitaly JaneltBrentford, 26, D(L),DMC",6.73,Premier League,2021-2022
"192Cheikhou KouyatéCrystal Palace, 35, D(CR),DMC",6.73,Premier League,2021-2022
"193Grant HanleyNorwich, 33, D(C)",6.73,Premier League,2021-2022
"194Abdoulaye DoucouréEverton, 32, M(C)",6.72,Premier League,2021-2022
"195Jeffrey SchluppCrystal Palace, 32, D(L),M(CLR)",6.72,Premier League,2021-2022
"196Ché AdamsSouthampton, 28, AM(CL),FW",6.72,Premier League,2021-2022
"197Michael KeaneEverton, 32, D(CR)",6.72,Premier League,2021-2022
"198Chris WoodNewcastle, 33, FW",6.72,Premier League,2021-2022
"199Joel WardCrystal Palace, 35, D(CLR),DMC,M(R)",6.72,Premier League,2021-2022
"200Adam WebsterBrighton, 30, D(C)",6.72,Premier League,2021-2022
"201Matt TargettAston Villa, 29, D(L),M(L)",6.71,Premier League,2021-2022
"202Timothy CastagneLeicester, 29, D(CLR),M(LR)",6.71,Premier League,2021-2022
"203Andros TownsendEverton, 33, AM(CLR),FW",6.71,Premier League,2021-2022
"204Erik PietersBurnley, 36, D(CL),M(L)",6.71,Premier League,2021-2022
"205James JustinLeicester, 26, D(CLR),M(LR)",6.7,Premier League,2021-2022
"206EdersonMan City, 31, GK",6.7,Premier League,2021-2022
"207Craig DawsonWest Ham, 34, D(CR)",6.7,Premier League,2021-2022
"208Fraser ForsterSouthampton, 36, GK",6.7,Premier League,2021-2022
"209FernandinhoMan City, 39, D(CR),M(C)",6.7,Premier League,2021-2022
"210Fabian SchärNewcastle, 33, D(C)",6.7,Premier League,2021-2022
"211Anthony GordonEverton, 23, AM(CLR),FW",6.7,Premier League,2021-2022
"212Leo HjeldeLeeds, 21, D(CL)",6.7,Premier League,2021-2022
"213Vitalii MykolenkoEverton, 25, D(CL),M(L)",6.69,Premier League,2021-2022
"214Joshua KingWatford, 33, AM(CLR),FW",6.69,Premier League,2021-2022
"215Danny WelbeckBrighton, 34, AM(CLR),FW",6.69,Premier League,2021-2022
"216João MoutinhoWolves, 38, M(C)",6.69,Premier League,2021-2022
"217Maxwel CornetBurnley, 28, D(L),M(LR),FW",6.69,Premier League,2021-2022
"218Moussa SissokoWatford, 35, M(CR)",6.68,Premier League,2021-2022
"219Vicente GuaitaCrystal Palace, 38, GK",6.68,Premier League,2021-2022
"220Arthur MasuakuWest Ham, 31, D(L),M(L)",6.68,Premier League,2021-2022
"221Ryan SessegnonTottenham, 24, D(L),M(LR)",6.68,Premier League,2021-2022
"222Kiernan Dewsbury-HallLeicester, 26, M(C)",6.68,Premier League,2021-2022
"223Christian PulisicChelsea, 26, M(CLR),FW",6.67,Premier League,2021-2022
"224Jordan AyewCrystal Palace, 33, AM(CLR),FW",6.67,Premier League,2021-2022
"225Granit XhakaArsenal, 32, D(L),M(C)",6.67,Premier League,2021-2022
"226Jack HarrisonLeeds, 28, AM(CLR),FW",6.67,Premier League,2021-2022
"227Chris WoodBurnley, 33, FW",6.66,Premier League,2021-2022
"228Joachim AndersenCrystal Palace, 28, D(C)",6.66,Premier League,2021-2022
"229Angelo OgbonnaWest Ham, 36, D(C)",6.66,Premier League,2021-2022
"230Raúl JiménezWolves, 33, FW",6.66,Premier League,2021-2022
"231Enock MwepuBrighton, 27, M(CR)",6.66,Premier League,2021-2022
"232Michael OliseCrystal Palace, 23, AM(CLR)",6.66,Premier League,2021-2022
"233Odsonne ÉdouardCrystal Palace, 27, AM(L),FW",6.66,Premier League,2021-2022
"234Jadon SanchoMan Utd, 24, AM(CLR)",6.66,Premier League,2021-2022
"235Christian BentekeCrystal Palace, 34, FW",6.66,Premier League,2021-2022
"236Édouard MendyChelsea, 32, GK",6.65,Premier League,2021-2022
"237Ben JohnsonWest Ham, 25, D(CLR),M(LR)",6.65,Premier League,2021-2022
"238Martin DúbravkaNewcastle, 36, GK",6.65,Premier League,2021-2022
"239Pablo MaríArsenal, 31, D(C)",6.65,Premier League,2021-2022
"240Aaron RamsdaleArsenal, 26, GK",6.65,Premier League,2021-2022
"241Jonjo ShelveyNewcastle, 32, M(C)",6.65,Premier League,2021-2022
"242Manuel LanziniWest Ham, 32, M(CLR)",6.65,Premier League,2021-2022
"243Harry MaguireMan Utd, 31, D(C)",6.65,Premier League,2021-2022
"244Danny IngsAston Villa, 32, AM(C),FW",6.65,Premier League,2021-2022
"245Jean-Philippe MatetaCrystal Palace, 27, FW",6.64,Premier League,2021-2022
"246David de GeaMan Utd, 34, GK",6.64,Premier League,2021-2022
"247Ademola LookmanLeicester, 27, AM(CLR),FW",6.64,Premier League,2021-2022
"248Conor CoadyWolves, 31, D(CR),DMC",6.64,Premier League,2021-2022
"249Luke ShawMan Utd, 29, D(CL),M(L)",6.64,Premier League,2021-2022
"250Robert SánchezBrighton, 27, GK",6.63,Premier League,2021-2022
"251Nemanja MaticMan Utd, 36, DMC",6.63,Premier League,2021-2022
"252Emiliano MartínezAston Villa, 32, GK",6.63,Premier League,2021-2022
"253Juraj KuckaWatford, 37, M(CLR)",6.63,Premier League,2021-2022
"254Alex McCarthySouthampton, 35, GK",6.63,Premier League,2021-2022
"255Wout WeghorstBurnley, 32, FW",6.62,Premier League,2021-2022
"256Adam MasinaWatford, 31, D(CL),M(L)",6.62,Premier League,2021-2022
"257Mohamed ElyounoussiSouthampton, 30, AM(CLR),FW",6.62,Premier League,2021-2022
"258Yerry MinaEverton, 30, D(C)",6.61,Premier League,2021-2022
"259Fabian DelphEverton, 35, D(L),M(CL)",6.61,Premier League,2021-2022
"260Séamus ColemanEverton, 36, D(CR),M(R)",6.61,Premier League,2021-2022
"261Dimitris GiannoulisNorwich, 29, D(L),M(L)",6.61,Premier League,2021-2022
"262Illan MeslierLeeds, 24, GK",6.61,Premier League,2021-2022
"263Connor RobertsBurnley, 29, D(LR),M(R)",6.61,Premier League,2021-2022
"264Jordan PickfordEverton, 30, GK",6.6,Premier League,2021-2022
"265Eddie NketiahArsenal, 25, AM(C),FW",6.6,Premier League,2021-2022
"266James MilnerLiverpool, 39, D(LR),M(CLR)",6.6,Premier League,2021-2022
"267Divock OrigiLiverpool, 29, AM(LR),FW",6.6,Premier League,2021-2022
"268Benjamin MendyMan City, 30, D(L),DMC,M(L)",6.6,Premier League,2021-2022
"269Nathan RedmondSouthampton, 30, AM(CLR),FW",6.6,Premier League,2021-2022
"270Hamza ChoudhuryLeicester, 27, D(R),DMC",6.6,Premier League,2021-2022
"271Armando BrojaSouthampton, 23, FW",6.59,Premier League,2021-2022
"272Joe WillockNewcastle, 25, M(C)",6.59,Premier League,2021-2022
"273Solly MarchBrighton, 30, M(CLR)",6.59,Premier League,2021-2022
"274Emil KrafthNewcastle, 30, D(CR),M(R)",6.59,Premier League,2021-2022
"275Matthew LowtonBurnley, 35, D(LR),M(R)",6.59,Premier League,2021-2022
"276Diego LlorenteLeeds, 31, D(C),DMC",6.58,Premier League,2021-2022
"277Ismaïla SarrWatford, 26, AM(CLR),FW",6.58,Premier League,2021-2022
"278Alex IwobiEverton, 28, D(R),M(CLR)",6.58,Premier League,2021-2022
"279TrincãoWolves, 25, AM(CLR),FW",6.58,Premier League,2021-2022
"280Kortney HauseAston Villa, 29, D(CL)",6.58,Premier League,2021-2022
"281Willy-Arnaud BolyWolves, 34, D(C)",6.58,Premier League,2021-2022
"282Francisco SierraltaWatford, 27, D(C),DMC",6.57,Premier League,2021-2022
"283Callum WilsonNewcastle, 32, FW",6.57,Premier League,2021-2022
"284RodrigoLeeds, 33, M(CLR),FW",6.57,Premier League,2021-2022
"285Vladimír CoufalWest Ham, 32, D(CR),M(R)",6.57,Premier League,2021-2022
"286Oliver SkippTottenham, 24, DMC",6.57,Premier League,2021-2022
"287Harvey ElliottLiverpool, 21, AM(CR)",6.57,Premier League,2021-2022
"288Kalvin PhillipsLeeds, 29, D(C),DMC",6.56,Premier League,2021-2022
"289Angus GunnNorwich, 29, GK",6.56,Premier League,2021-2022
"290Alex Oxlade ChamberlainLiverpool, 31, M(CLR)",6.56,Premier League,2021-2022
"291Joe GomezLiverpool, 27, D(CLR)",6.56,Premier League,2021-2022
"292Alphonse AreolaWest Ham, 31, GK",6.56,Premier League,2021-2022
"293Anthony ElangaMan Utd, 22, AM(LR),FW",6.56,Premier League,2021-2022
"294Mathias NormannNorwich, 28, M(C)",6.56,Premier League,2021-2022
"295Nathaniel ClyneCrystal Palace, 33, D(CLR),M(R)",6.55,Premier League,2021-2022
"296ChiquinhoWolves, 25, AM(LR)",6.55,Premier League,2021-2022
"297Charlie GoodeBrentford, 29, D(C)",6.55,Premier League,2021-2022
"298Marc AlbrightonLeicester, 35, D(R),M(LR)",6.54,Premier League,2021-2022
"299Yan ValerySouthampton, 25, D(CR),M(R)",6.54,Premier League,2021-2022
"300Imrân LouzaWatford, 25, M(CLR)",6.54,Premier League,2021-2022
"301Brandon WilliamsNorwich, 24, D(LR),M(L)",6.54,Premier League,2021-2022
"302Rico HenryBrentford, 27, D(L),M(L)",6.54,Premier League,2021-2022
"303Tariq LampteyBrighton, 24, D(LR),M(R)",6.54,Premier League,2021-2022
"304Dele AlliTottenham, 28, M(CL),FW",6.53,Premier League,2021-2022
"305Timo WernerChelsea, 28, AM(CLR),FW",6.53,Premier League,2021-2022
"306Mason HolgateEverton, 28, D(CR),DMC,M(R)",6.53,Premier League,2021-2022
"307Eberechi EzeCrystal Palace, 26, AM(CLR)",6.53,Premier League,2021-2022
"308SamirWatford, 30, D(CL)",6.53,Premier League,2021-2022
"309Hwang Hee-ChanWolves, 29, AM(CLR),FW",6.53,Premier League,2021-2022
"310Daniel JamesMan Utd, 27, AM(CLR),FW",6.53,Premier League,2021-2022
"311Will HughesCrystal Palace, 29, M(CLR)",6.53,Premier League,2021-2022
"312Andrew OmobamideleNorwich, 22, D(C)",6.53,Premier League,2021-2022
"313Cédric SoaresArsenal, 33, D(LR),M(R)",6.53,Premier League,2021-2022
"314Yoane WissaBrentford, 28, AM(L),FW",6.52,Premier League,2021-2022
"315Kelechi IheanachoLeicester, 28, AM(C),FW",6.52,Premier League,2021-2022
"316Japhet TangangaTottenham, 25, D(CR)",6.52,Premier League,2021-2022
"317Paul DummettNewcastle, 33, D(CL)",6.52,Premier League,2021-2022
"318Cucho HernándezWatford, 25, AM(CLR),FW",6.51,Premier League,2021-2022
"319Stuart ArmstrongSouthampton, 32, AM(CLR)",6.51,Premier League,2021-2022
"320Ben GodfreyEverton, 27, D(CLR)",6.51,Premier League,2021-2022
"321Albert Sambi LokongaArsenal, 25, DMC",6.51,Premier League,2021-2022
"322Adam LallanaBrighton, 36, M(CLR)",6.5,Premier League,2021-2022
"323AllanEverton, 34, DMC",6.5,Premier League,2021-2022
"324Jack StephensSouthampton, 31, D(CLR)",6.5,Premier League,2021-2022
"325Victor LindelöfMan Utd, 30, D(CLR)",6.5,Premier League,2021-2022
"326Daniel BachmannWatford, 30, GK",6.49,Premier League,2021-2022
"327Junior FirpoLeeds, 28, D(L),M(L)",6.49,Premier League,2021-2022
"328Liam DelapMan City, 22, AM(R),FW",6.49,Premier League,2021-2022
"329Saúl ÑíguezChelsea, 30, D(CL),M(CLR)",6.49,Premier League,2021-2022
"330Sergi CanósBrentford, 28, M(LR)",6.49,Premier League,2021-2022
"331Neal MaupayBrighton, 28, AM(C),FW",6.49,Premier League,2021-2022
"332Luke AylingLeeds, 33, D(CR),M(R)",6.48,Premier League,2021-2022
"333Rob HoldingArsenal, 29, D(CR)",6.48,Premier League,2021-2022
"334Pierre Lees-MelouNorwich, 31, M(CLR)",6.48,Premier League,2021-2022
"335Edo KayembeWatford, 26, M(C)",6.48,Premier League,2021-2022
"336Patrick BamfordLeeds, 31, AM(CLR),FW",6.48,Premier League,2021-2022
"337Ryan FraserNewcastle, 30, M(CLR),FW",6.47,Premier League,2021-2022
"338Nicolas NkoulouWatford, 34, D(C),M(C)",6.47,Premier League,2021-2022
"339Teemu PukkiNorwich, 34, AM(C),FW",6.47,Premier League,2021-2022
"340ZankaBrentford, 34, D(C)",6.47,Premier League,2021-2022
"341Donny van de BeekEverton, 27, M(C)",6.47,Premier League,2021-2022
"342Tim IroegbunamAston Villa, 21, M(C)",6.46,Premier League,2021-2022
"343Sam ByramNorwich, 31, D(CLR),M(R)",6.46,Premier League,2021-2022
"344Mohamed ElnenyArsenal, 32, DMC",6.46,Premier League,2021-2022
