Player Name,Rating,League,Season
"1Kevin De BruyneMan City, 33, M(CLR),FW",7.64,Premier League,2021-2022
"2Mohamed SalahLiverpool, 32, AM(CLR),FW",7.54,Premier League,2021-2022
"3Son Heung-MinTottenham, 32, M(CLR),FW",7.52,Premier League,2021-2022
"4Trent Alexander-ArnoldLiverpool, 26, D(R),DMC,M(R)",7.51,Premier League,2021-2022
"5KenedyChelsea, 29, D(L),M(LR)",7.46,Premier League,2021-2022
"6Harry KaneTottenham, 31, AM(C),FW",7.45,Premier League,2021-2022
"7RodriMan City, 28, D(C),DMC",7.44,Premier League,2021-2022
"8Luis DíazLiverpool, 28, AM(LR),FW",7.44,Premier League,2021-2022
"9João CanceloMan City, 30, D(LR),M(LR)",7.43,Premier League,2021-2022
"10Ben ChilwellChelsea, 28, D(L),M(L)",7.42,Premier League,2021-2022
"11Kieran TrippierNewcastle, 34, D(LR),M(R)",7.38,Premier League,2021-2022
"12Christian EriksenBrentford, 33, M(CLR),FW",7.37,Premier League,2021-2022
"13Joël MatipLiverpool, 33, D(C)",7.35,Premier League,2021-2022
"14Phil FodenMan City, 24, AM(CLR),FW",7.3,Premier League,2021-2022
"15Sadio ManéLiverpool, 32, AM(CLR),FW",7.29,Premier League,2021-2022
"16Ivan ToneyBrentford, 28, FW",7.28,Premier League,2021-2022
"17Bernardo SilvaMan City, 30, M(CLR),FW",7.28,Premier League,2021-2022
"18Kristoffer KlaessonLeeds, 24, Goalkeeper",7.27,Premier League,2021-2022
"19Danny WardLeicester, 31, GK",7.25,Premier League,2021-2022
"20Rodrigo BentancurTottenham, 27, M(C)",7.24,Premier League,2021-2022
"21Reece JamesChelsea, 25, D(CR),DMC,M(R)",7.24,Premier League,2021-2022
"22Ilkay GündoganMan City, 34, M(C)",7.24,Premier League,2021-2022
"23Ferran TorresMan City, 24, AM(LR),FW",7.23,Premier League,2021-2022
"24Andy RobertsonLiverpool, 30, D(L),M(L)",7.23,Premier League,2021-2022
"25Gabriel JesusMan City, 27, AM(LR),FW",7.2,Premier League,2021-2022
"26Raheem SterlingMan City, 30, M(CLR),FW",7.2,Premier League,2021-2022
"27Dejan KulusevskiTottenham, 24, AM(CR),FW",7.19,Premier League,2021-2022
"28Mason MountChelsea, 26, M(CLR)",7.19,Premier League,2021-2022
"29Virgil van DijkLiverpool, 33, D(C)",7.18,Premier League,2021-2022
"30Jack GrealishMan City, 29, M(CL),FW",7.17,Premier League,2021-2022
"31John McGinnAston Villa, 30, M(CLR)",7.17,Premier League,2021-2022
"32Zack SteffenMan City, 29, GK",7.16,Premier League,2021-2022
"33Jarrod BowenWest Ham, 28, AM(CLR),FW",7.15,Premier League,2021-2022
"34Pierre-Emile HøjbjergTottenham, 29, M(C)",7.13,Premier League,2021-2022
"35Cristiano RonaldoMan Utd, 40, M(L),FW",7.11,Premier League,2021-2022
"36John StonesMan City, 30, D(CR),DMC",7.1,Premier League,2021-2022
"37Declan RiceWest Ham, 26, D(C),DMC",7.1,Premier League,2021-2022
"38Thiago AlcântaraLiverpool, 33, M(C)",7.1,Premier League,2021-2022
"39Allan Saint-MaximinNewcastle, 27, AM(CLR),FW",7.09,Premier League,2021-2022
"40Marcos AlonsoChelsea, 34, D(CL),M(L)",7.09,Premier League,2021-2022
"41Diogo JotaLiverpool, 28, AM(CLR),FW",7.08,Premier League,2021-2022
"42Conor GallagherCrystal Palace, 25, M(CL)",7.08,Premier League,2021-2022
"43James MaddisonLeicester, 28, AM(CLR)",7.07,Premier League,2021-2022
"44Moisés CaicedoBrighton, 23, D(R),DMC",7.07,Premier League,2021-2022
"45Thiago SilvaChelsea, 40, D(C)",7.06,Premier League,2021-2022
"46Bukayo SakaArsenal, 23, D(L),M(CLR)",7.06,Premier League,2021-2022
