"91Leandro BarreiroMainz, 25, DMC",6.83
"92Alassane PléaBorussia M.Gladbach, 31, AM(CLR),FW",6.82
"93Brajan GrudaMainz, 20, AM(CR)",6.82
"94Phillip TietzAugsburg, 27, FW",6.81
"95Florian GrillitschHoffenheim, 29, D(C),M(CL)",6.81
"96Kevin BehrensUnion Berlin, 34, FW",6.81
"97Mohamed SimakanRBL, 24, D(CR)",6.79
"98Kristijan JakicAugsburg, 27, D(CR),DMC,M(R)",6.79
"99Robin HackBorussia M.Gladbach, 26, AM(CLR),FW",6.78
"100Frederik RønnowUnion Berlin, 32, GK",6.78
"101Pavel KaderábekHoffenheim, 32, D(R),M(LR)",6.78
"102Lukás HrádeckyLeverkusen, 35, GK",6.78
"103Daniel BatzMainz, 34, Goalkeeper",6.78
"104Amine AdliLeverkusen, 24, AM(CLR),FW",6.78
"105Julian RyersonBorussia Dortmund, 27, D(CLR),M(CLR)",6.78
"106Lucas HölerFreiburg, 30, AM(CLR),FW",6.78
"107Edmond TapsobaLeverkusen, 26, D(C)",6.78
"108Junior Dina EbimbeEintracht Frankfurt, 24, M(CLR)",6.77
"109Max FinkgräfeFC Koln, 20, D(L)",6.77
"110Julian WeiglBorussia M.Gladbach, 29, D(C),DMC",6.77
"111Michael GregoritschFreiburg, 30, AM(CR),FW",6.77
"112Maximilian ArnoldWolfsburg, 30, M(CR)",6.76
"113Ellyes SkhiriEintracht Frankfurt, 29, DMC",6.76
"114Mathys TelBayern, 19, AM(L)",6.76
"115Patrik SchickLeverkusen, 29, AM(R),FW",6.76
"116Nico ElvediBorussia M.Gladbach, 28, D(CLR)",6.76
"117Raphaël GuerreiroBayern, 31, D(LR),M(CL)",6.76
"118Jens StageWerder Bremen, 28, M(C)",6.75
"119Eren DinkçiFC Heidenheim, 23, AM(CR)",6.75
"120Jonathan BurkardtMainz, 24, AM(CR),FW",6.75
"121Konrad LaimerBayern, 27, D(R),M(CR)",6.75
"122Jae-Sung LeeMainz, 32, AM(CLR),FW",6.75
