,Player Name,Rating,League,Season,Squad
0,Kevin De Bruyne,7.64,Premier League,2021-2022,Man City
1,Mohamed Salah,7.54,Premier League,2021-2022,Liverpool
2,Son Heung-Min,7.52,Premier League,2021-2022,Tottenham
3,Trent Alexander-Arnold,7.51,Premier League,2021-2022,Liverpool
4,Kenedy,7.46,Premier League,2021-2022,Chelsea
5,Harry Kane,7.45,Premier League,2021-2022,Tottenham
6,Rodri,7.44,Premier League,2021-2022,Man City
7,Luis Díaz,7.44,Premier League,2021-2022,Liverpool
8,João Cancelo,7.43,Premier League,2021-2022,Man City
9,Ben Chilwell,7.42,Premier League,2021-2022,Chelsea
10,Kieran Trippier,7.38,Premier League,2021-2022,Newcastle
11,Christian Eriksen,7.37,Premier League,2021-2022,Brentford
12,Joël Matip,7.35,Premier League,2021-2022,Liverpool
13,Phil Foden,7.3,Premier League,2021-2022,Man City
14,Sadio Mané,7.29,Premier League,2021-2022,Liverpool
15,Ivan Toney,7.28,Premier League,2021-2022,Brentford
16,Bernardo Silva,7.28,Premier League,2021-2022,Man City
17,Kristoffer Klaesson,7.27,Premier League,2021-2022,Leeds
18,Danny Ward,7.25,Premier League,2021-2022,Leicester
19,Rodrigo Bentancur,7.24,Premier League,2021-2022,Tottenham
20,Reece James,7.24,Premier League,2021-2022,Chelsea
21,Ilkay Gündogan,7.24,Premier League,2021-2022,Man City
22,Ferran Torres,7.23,Premier League,2021-2022,Man City
23,Andy Robertson,7.23,Premier League,2021-2022,Liverpool
24,Gabriel Jesus,7.2,Premier League,2021-2022,Man City
25,Raheem Sterling,7.2,Premier League,2021-2022,Man City
26,Dejan Kulusevski,7.19,Premier League,2021-2022,Tottenham
27,Mason Mount,7.19,Premier League,2021-2022,Chelsea
28,Virgil van Dijk,7.18,Premier League,2021-2022,Liverpool
29,Jack Grealish,7.17,Premier League,2021-2022,Man City
30,John McGinn,7.17,Premier League,2021-2022,Aston Villa
31,Zack Steffen,7.16,Premier League,2021-2022,Man City
32,Jarrod Bowen,7.15,Premier League,2021-2022,West Ham
33,Pierre-Emile Højbjerg,7.13,Premier League,2021-2022,Tottenham
34,Cristiano Ronaldo,7.11,Premier League,2021-2022,Man Utd
35,John Stones,7.1,Premier League,2021-2022,Man City
36,Declan Rice,7.1,Premier League,2021-2022,West Ham
37,Thiago Alcântara,7.1,Premier League,2021-2022,Liverpool
38,Allan Saint-MaximinNewcastle,7.09,Premier League,2021-2022,
39,Marcos Alonso,7.09,Premier League,2021-2022,Chelsea
40,Diogo Jota,7.08,Premier League,2021-2022,Liverpool
41,Conor Gallagher,7.08,Premier League,2021-2022,Crystal Palace
42,James Maddison,7.07,Premier League,2021-2022,Leicester
43,Moisés Caicedo,7.07,Premier League,2021-2022,Brighton
44,Thiago Silva,7.06,Premier League,2021-2022,Chelsea
45,Bukayo Saka,7.06,Premier League,2021-2022,Arsenal
46,Oleksandr Zinchenko,7.05,Premier League,2021-2022,Man City
47,Mateo Kovacic,7.04,Premier League,2021-2022,Chelsea
48,Bruno Guimarães,7.04,Premier League,2021-2022,Newcastle
49,Bruno Fernandes,7.03,Premier League,2021-2022,Man Utd
50,Trevoh Chalobah,7.03,Premier League,2021-2022,Chelsea
51,Kostas Tsimikas,7.03,Premier League,2021-2022,Liverpool
52,Caoimhín Kelleher,7.02,Premier League,2021-2022,Liverpool
53,Kepa,7.02,Premier League,2021-2022,Chelsea
54,James Ward-ProwseSouthampton,7.01,Premier League,2021-2022,
55,Toti Gomes,7.01,Premier League,2021-2022,Wolves
56,Christian Nørgaard,7.0,Premier League,2021-2022,Brentford
57,N Golo Kanté,7.0,Premier League,2021-2022,Chelsea
58,Fabinho,7.0,Premier League,2021-2022,Liverpool
59,Riyad Mahrez,7.0,Premier League,2021-2022,Man City
60,Paul Pogba,7.0,Premier League,2021-2022,Man Utd
61,Yves Bissouma,6.99,Premier League,2021-2022,Brighton
62,Matt Targett,6.99,Premier League,2021-2022,Newcastle
63,Wilfried Zaha,6.99,Premier League,2021-2022,Crystal Palace
64,Mason Greenwood,6.98,Premier League,2021-2022,Man Utd
65,Dan Burn,6.98,Premier League,2021-2022,Newcastle
66,Tomás Soucek,6.98,Premier League,2021-2022,West Ham
67,Ethan Pinnock,6.97,Premier League,2021-2022,Brentford
68,James Tarkowski,6.97,Premier League,2021-2022,Burnley
69,Raphinha,6.97,Premier League,2021-2022,Leeds
70,Matt Doherty,6.96,Premier League,2021-2022,Tottenham
71,Richarlison,6.96,Premier League,2021-2022,Everton
72,Philippe Coutinho,6.96,Premier League,2021-2022,Aston Villa
73,Jorginho,6.96,Premier League,2021-2022,Chelsea
74,Rayan Aït-NouriWolves,6.96,Premier League,2021-2022,
75,Rúben Dias,6.96,Premier League,2021-2022,Man City
76,Thomas Partey,6.96,Premier League,2021-2022,Arsenal
77,Dwight McNeil,6.96,Premier League,2021-2022,Burnley
78,Wilfred Ndidi,6.95,Premier League,2021-2022,Leicester
79,Sergio Reguilón,6.95,Premier League,2021-2022,Tottenham
80,Jamie Vardy,6.95,Premier League,2021-2022,Leicester
81,Marc Cucurella,6.94,Premier League,2021-2022,Brighton
82,Michail Antonio,6.94,Premier League,2021-2022,West Ham
83,Adama Traoré,6.94,Premier League,2021-2022,Wolves
84,Lucas Digne,6.94,Premier League,2021-2022,Aston Villa
85,Cristian Romero,6.92,Premier League,2021-2022,Tottenham
86,Hakim Ziyech,6.92,Premier League,2021-2022,Chelsea
87,Jason Steele,6.92,Premier League,2021-2022,Brighton
88,Nathan Aké,6.92,Premier League,2021-2022,Man City
89,Dominic Calvert-LewinEverton,6.92,Premier League,2021-2022,
90,Ben Mee,6.91,Premier League,2021-2022,Burnley
91,Aymeric Laporte,6.91,Premier League,2021-2022,Man City
92,Aaron Wan-BissakaMan Utd,6.91,Premier League,2021-2022,
93,Matty Cash,6.91,Premier League,2021-2022,Aston Villa
94,Ricardo Pereira,6.91,Premier League,2021-2022,Leicester
95,Martin degaard,6.91,Premier League,2021-2022,Arsenal
96,Youri Tielemans,6.9,Premier League,2021-2022,Leicester
97,Neco Williams,6.9,Premier League,2021-2022,Liverpool
98,Ollie Watkins,6.9,Premier League,2021-2022,Aston Villa
99,Leandro Trossard,6.9,Premier League,2021-2022,Brighton
100,Scott McTominay,6.89,Premier League,2021-2022,Man Utd
101,Alex Telles,6.89,Premier League,2021-2022,Man Utd
102,Andreas Christensen,6.89,Premier League,2021-2022,Chelsea
103,Nathan Collins,6.89,Premier League,2021-2022,Burnley
104,Ibrahima Konaté,6.89,Premier League,2021-2022,Liverpool
105,Emmanuel Dennis,6.89,Premier League,2021-2022,Watford
106,Shane Duffy,6.88,Premier League,2021-2022,Brighton
107,Maximilian Kilman,6.87,Premier League,2021-2022,Wolves
108,Ruben Loftus-Cheek,6.87,Premier League,2021-2022,Chelsea
109,Alisson Becker,6.87,Premier League,2021-2022,Liverpool
110,Wesley Fofana,6.87,Premier League,2021-2022,Leicester
111,Saïd Benrahma,6.87,Premier League,2021-2022,West Ham
112,Fred,6.87,Premier League,2021-2022,Man Utd
113,Oriol Romeu,6.87,Premier League,2021-2022,Southampton
114,Hassane Kamara,6.86,Premier League,2021-2022,Watford
115,Jordan Henderson,6.86,Premier League,2021-2022,Liverpool
116,Davinson Sánchez,6.86,Premier League,2021-2022,Tottenham
117,Josh Brownhill,6.86,Premier League,2021-2022,Burnley
118,Curtis Jones,6.86,Premier League,2021-2022,Liverpool
119,Gabriel Martinelli,6.86,Premier League,2021-2022,Arsenal
120,Diogo Dalot,6.86,Premier League,2021-2022,Man Utd
121,Liam Cooper,6.85,Premier League,2021-2022,Leeds
122,Emerson Royal,6.85,Premier League,2021-2022,Tottenham
123,Antonio Rüdiger,6.85,Premier League,2021-2022,Chelsea
124,Kai Havertz,6.85,Premier League,2021-2022,Chelsea
125,Roberto Firmino,6.85,Premier League,2021-2022,Liverpool
126,Rúben Neves,6.85,Premier League,2021-2022,Wolves
127,James McArthur,6.84,Premier League,2021-2022,Crystal Palace
128,Romain Saïss,6.84,Premier League,2021-2022,Wolves
129,Mohammed Salisu,6.83,Premier League,2021-2022,Southampton
130,Kyle Walker-PetersSouthampton,6.83,Premier League,2021-2022,
131,Takehiro Tomiyasu,6.83,Premier League,2021-2022,Arsenal
132,Romelu Lukaku,6.83,Premier League,2021-2022,Chelsea
133,Joelinton,6.82,Premier League,2021-2022,Newcastle
134,Nélson Semedo,6.82,Premier League,2021-2022,Wolves
135,Charlie Taylor,6.82,Premier League,2021-2022,Burnley
136,Ross Barkley,6.82,Premier League,2021-2022,Chelsea
137,César Azpilicueta,6.81,Premier League,2021-2022,Chelsea
138,José Sá,6.81,Premier League,2021-2022,Wolves
139,Nick Pope,6.81,Premier League,2021-2022,Burnley
140,Jan Bednarek,6.81,Premier League,2021-2022,Southampton
141,Lucas Moura,6.81,Premier League,2021-2022,Tottenham
142,Dan Burn,6.8,Premier League,2021-2022,Brighton
143,Pablo Fornals,6.8,Premier League,2021-2022,West Ham
144,David Raya,6.8,Premier League,2021-2022,Brentford
145,Joël Veltman,6.8,Premier League,2021-2022,Brighton
146,Lucas Digne,6.8,Premier League,2021-2022,Everton
147,Hugo Lloris,6.79,Premier League,2021-2022,Tottenham
148,Calum Chambers,6.79,Premier League,2021-2022,Aston Villa
149,Pascal,6.79,Premier League,2021-2022,
150,Harvey Barnes,6.79,Premier League,2021-2022,Leicester
151,Naby Keïta,6.79,Premier League,2021-2022,Liverpool
152,Raphaël Varane,6.78,Premier League,2021-2022,Man Utd
153,Demarai Gray,6.78,Premier League,2021-2022,Everton
154,Stuart Dallas,6.78,Premier League,2021-2022,Leeds
155,João Pedro,6.78,Premier League,2021-2022,Watford
156,Daniel Podence,6.78,Premier League,2021-2022,Wolves
157,Ben White,6.78,Premier League,2021-2022,Arsenal
158,Douglas Luiz,6.77,Premier League,2021-2022,Aston Villa
159,Ben Davies,6.77,Premier League,2021-2022,Tottenham
160,Callum Hudson-Odoi,6.77,Premier League,2021-2022,Chelsea
161,Eric Dier,6.77,Premier League,2021-2022,Tottenham
162,Jacob Ramsey,6.77,Premier League,2021-2022,Aston Villa
163,Kieran Tierney,6.77,Premier League,2021-2022,Arsenal
164,Marc Guéhi,6.76,Premier League,2021-2022,Crystal Palace
165,Pontus Jansson,6.76,Premier League,2021-2022,Brentford
166,Lukasz Fabianski,6.76,Premier League,2021-2022,West Ham
167,Jonny Evans,6.76,Premier League,2021-2022,Leicester
168,Malang Sarr,6.76,Premier League,2021-2022,Chelsea
169,Tyrick Mitchell,6.75,Premier League,2021-2022,Crystal Palace
170,Alexis Mac Allister,6.75,Premier League,2021-2022,Brighton
171,Marçal,6.75,Premier League,2021-2022,Wolves
172,Aaron Cresswell,6.75,Premier League,2021-2022,West Ham
173,Emiliano Buendía,6.75,Premier League,2021-2022,Aston Villa
174,Gabriel Magalhães,6.74,Premier League,2021-2022,Arsenal
175,Kurt Zouma,6.74,Premier League,2021-2022,West Ham
176,Luke Thomas,6.74,Premier League,2021-2022,Leicester
177,Emile Smith Rowe,6.74,Premier League,2021-2022,Arsenal
178,Pierre-Emerick Aubameyang,6.74,Premier League,2021-2022,Arsenal
179,Jonny,6.74,Premier League,2021-2022,Wolves
180,Asmir Begovic,6.74,Premier League,2021-2022,Everton
181,Bryan Mbeumo,6.74,Premier League,2021-2022,Brentford
182,Çaglar Söyüncü,6.74,Premier League,2021-2022,Leicester
183,Kasper Schmeichel,6.74,Premier League,2021-2022,Leicester
184,Tyrone Mings,6.74,Premier League,2021-2022,Aston Villa
185,Alexandre Lacazette,6.74,Premier League,2021-2022,Arsenal
186,Tino Livramento,6.73,Premier League,2021-2022,Southampton
187,Lewis Dunk,6.73,Premier League,2021-2022,Brighton
188,Kyle Walker,6.73,Premier League,2021-2022,Man City
189,Kristoffer Ajer,6.73,Premier League,2021-2022,Brentford
190,Vitaly Janelt,6.73,Premier League,2021-2022,Brentford
