,Player Name,Rating,League,Season,Squad
191,Cheikhou Kouyaté,6.73,Premier League,2021-2022,Crystal Palace
192,Grant Hanley,6.73,Premier League,2021-2022,Norwich
193,Abdoulaye Doucouré,6.72,Premier League,2021-2022,Everton
194,Jeffrey Schlupp,6.72,Premier League,2021-2022,Crystal Palace
195,Ché Adams,6.72,Premier League,2021-2022,Southampton
196,Michael Keane,6.72,Premier League,2021-2022,Everton
197,Chris Wood,6.72,Premier League,2021-2022,Newcastle
198,Joel Ward,6.72,Premier League,2021-2022,Crystal Palace
199,Adam Webster,6.72,Premier League,2021-2022,Brighton
200,Matt Targett,6.71,Premier League,2021-2022,Aston Villa
201,Timothy Castagne,6.71,Premier League,2021-2022,Leicester
202,Andros Townsend,6.71,Premier League,2021-2022,Everton
203,Erik Pieters,6.71,Premier League,2021-2022,Burnley
204,James Justin,6.7,Premier League,2021-2022,Leicester
205,Ederson,6.7,Premier League,2021-2022,Man City
206,Craig Dawson,6.7,Premier League,2021-2022,West Ham
207,Fraser Forster,6.7,Premier League,2021-2022,Southampton
208,Fernandinho,6.7,Premier League,2021-2022,Man City
209,Fabian Schär,6.7,Premier League,2021-2022,Newcastle
210,Anthony Gordon,6.7,Premier League,2021-2022,Everton
211,Leo Hjelde,6.7,Premier League,2021-2022,Leeds
212,Vitalii Mykolenko,6.69,Premier League,2021-2022,Everton
213,Joshua King,6.69,Premier League,2021-2022,Watford
214,Danny Welbeck,6.69,Premier League,2021-2022,Brighton
215,João Moutinho,6.69,Premier League,2021-2022,Wolves
216,Maxwel Cornet,6.69,Premier League,2021-2022,Burnley
217,Moussa Sissoko,6.68,Premier League,2021-2022,Watford
218,Vicente Guaita,6.68,Premier League,2021-2022,Crystal Palace
219,Arthur Masuaku,6.68,Premier League,2021-2022,West Ham
220,Ryan Sessegnon,6.68,Premier League,2021-2022,Tottenham
221,Kiernan Dewsbury-HallLeicester,6.68,Premier League,2021-2022,
222,Christian Pulisic,6.67,Premier League,2021-2022,Chelsea
223,Jordan Ayew,6.67,Premier League,2021-2022,Crystal Palace
224,Granit Xhaka,6.67,Premier League,2021-2022,Arsenal
225,Jack Harrison,6.67,Premier League,2021-2022,Leeds
226,Chris Wood,6.66,Premier League,2021-2022,Burnley
227,Joachim Andersen,6.66,Premier League,2021-2022,Crystal Palace
228,Angelo Ogbonna,6.66,Premier League,2021-2022,West Ham
229,Raúl Jiménez,6.66,Premier League,2021-2022,Wolves
230,Enock Mwepu,6.66,Premier League,2021-2022,Brighton
231,Michael Olise,6.66,Premier League,2021-2022,Crystal Palace
232,Odsonne douard,6.66,Premier League,2021-2022,Crystal Palace
233,Jadon Sancho,6.66,Premier League,2021-2022,Man Utd
234,Christian Benteke,6.66,Premier League,2021-2022,Crystal Palace
235,Édouard Mendy,6.65,Premier League,2021-2022,Chelsea
236,Ben Johnson,6.65,Premier League,2021-2022,West Ham
237,Martin Dúbravka,6.65,Premier League,2021-2022,Newcastle
238,Pablo Marí,6.65,Premier League,2021-2022,Arsenal
239,Aaron Ramsdale,6.65,Premier League,2021-2022,Arsenal
240,Jonjo Shelvey,6.65,Premier League,2021-2022,Newcastle
241,Manuel Lanzini,6.65,Premier League,2021-2022,West Ham
242,Harry Maguire,6.65,Premier League,2021-2022,Man Utd
243,Danny Ings,6.65,Premier League,2021-2022,Aston Villa
244,Jean-Philippe Mateta,6.64,Premier League,2021-2022,Crystal Palace
245,David de Gea,6.64,Premier League,2021-2022,Man Utd
246,Ademola Lookman,6.64,Premier League,2021-2022,Leicester
247,Conor Coady,6.64,Premier League,2021-2022,Wolves
248,Luke Shaw,6.64,Premier League,2021-2022,Man Utd
249,Robert Sánchez,6.63,Premier League,2021-2022,Brighton
250,Nemanja Matic,6.63,Premier League,2021-2022,Man Utd
251,Emiliano Martínez,6.63,Premier League,2021-2022,Aston Villa
252,Juraj Kucka,6.63,Premier League,2021-2022,Watford
253,Alex McCarthy,6.63,Premier League,2021-2022,Southampton
254,Wout Weghorst,6.62,Premier League,2021-2022,Burnley
255,Adam Masina,6.62,Premier League,2021-2022,Watford
256,Mohamed Elyounoussi,6.62,Premier League,2021-2022,Southampton
257,Yerry Mina,6.61,Premier League,2021-2022,Everton
258,Fabian Delph,6.61,Premier League,2021-2022,Everton
259,Séamus Coleman,6.61,Premier League,2021-2022,Everton
260,Dimitris Giannoulis,6.61,Premier League,2021-2022,Norwich
261,Illan Meslier,6.61,Premier League,2021-2022,Leeds
262,Connor Roberts,6.61,Premier League,2021-2022,Burnley
263,Jordan Pickford,6.6,Premier League,2021-2022,Everton
264,Eddie Nketiah,6.6,Premier League,2021-2022,Arsenal
265,James Milner,6.6,Premier League,2021-2022,Liverpool
266,Divock Origi,6.6,Premier League,2021-2022,Liverpool
267,Benjamin Mendy,6.6,Premier League,2021-2022,Man City
268,Nathan Redmond,6.6,Premier League,2021-2022,Southampton
269,Hamza Choudhury,6.6,Premier League,2021-2022,Leicester
270,Armando Broja,6.59,Premier League,2021-2022,Southampton
271,Joe Willock,6.59,Premier League,2021-2022,Newcastle
272,Solly March,6.59,Premier League,2021-2022,Brighton
273,Emil Krafth,6.59,Premier League,2021-2022,Newcastle
274,Matthew Lowton,6.59,Premier League,2021-2022,Burnley
275,Diego Llorente,6.58,Premier League,2021-2022,Leeds
276,Ismaïla Sarr,6.58,Premier League,2021-2022,Watford
277,Alex Iwobi,6.58,Premier League,2021-2022,Everton
278,Trincão,6.58,Premier League,2021-2022,Wolves
279,Kortney Hause,6.58,Premier League,2021-2022,Aston Villa
280,Willy-Arnaud Boly,6.58,Premier League,2021-2022,Wolves
281,Francisco Sierralta,6.57,Premier League,2021-2022,Watford
282,Callum Wilson,6.57,Premier League,2021-2022,Newcastle
283,Rodrigo,6.57,Premier League,2021-2022,Leeds
284,Vladimír Coufal,6.57,Premier League,2021-2022,West Ham
285,Oliver Skipp,6.57,Premier League,2021-2022,Tottenham
286,Harvey Elliott,6.57,Premier League,2021-2022,Liverpool
287,Kalvin Phillips,6.56,Premier League,2021-2022,Leeds
288,Angus Gunn,6.56,Premier League,2021-2022,Norwich
289,Alex Oxlade Chamberlain,6.56,Premier League,2021-2022,Liverpool
290,Joe Gomez,6.56,Premier League,2021-2022,Liverpool
291,Alphonse Areola,6.56,Premier League,2021-2022,West Ham
292,Anthony Elanga,6.56,Premier League,2021-2022,Man Utd
293,Mathias Normann,6.56,Premier League,2021-2022,Norwich
294,Nathaniel Clyne,6.55,Premier League,2021-2022,Crystal Palace
295,Chiquinho,6.55,Premier League,2021-2022,Wolves
296,Charlie Goode,6.55,Premier League,2021-2022,Brentford
297,Marc Albrighton,6.54,Premier League,2021-2022,Leicester
298,Yan Valery,6.54,Premier League,2021-2022,Southampton
299,Imrân Louza,6.54,Premier League,2021-2022,Watford
300,Brandon Williams,6.54,Premier League,2021-2022,Norwich
301,Rico Henry,6.54,Premier League,2021-2022,Brentford
302,Tariq Lamptey,6.54,Premier League,2021-2022,Brighton
303,Dele Alli,6.53,Premier League,2021-2022,Tottenham
304,Timo Werner,6.53,Premier League,2021-2022,Chelsea
305,Mason Holgate,6.53,Premier League,2021-2022,Everton
306,Eberechi Eze,6.53,Premier League,2021-2022,Crystal Palace
307,Samir,6.53,Premier League,2021-2022,Watford
308,Hwang Hee-ChanWolves,6.53,Premier League,2021-2022,
309,Daniel James,6.53,Premier League,2021-2022,Man Utd
310,Will Hughes,6.53,Premier League,2021-2022,Crystal Palace
311,Andrew Omobamidele,6.53,Premier League,2021-2022,Norwich
312,Cédric Soares,6.53,Premier League,2021-2022,Arsenal
313,Yoane Wissa,6.52,Premier League,2021-2022,Brentford
314,Kelechi Iheanacho,6.52,Premier League,2021-2022,Leicester
315,Japhet Tanganga,6.52,Premier League,2021-2022,Tottenham
316,Paul Dummett,6.52,Premier League,2021-2022,Newcastle
317,Cucho Hernández,6.51,Premier League,2021-2022,Watford
318,Stuart Armstrong,6.51,Premier League,2021-2022,Southampton
319,Ben Godfrey,6.51,Premier League,2021-2022,Everton
320,Albert Sambi Lokonga,6.51,Premier League,2021-2022,Arsenal
321,Adam Lallana,6.5,Premier League,2021-2022,Brighton
322,Allan,6.5,Premier League,2021-2022,Everton
323,Jack Stephens,6.5,Premier League,2021-2022,Southampton
324,Victor Lindelöf,6.5,Premier League,2021-2022,Man Utd
325,Daniel Bachmann,6.49,Premier League,2021-2022,Watford
326,Junior Firpo,6.49,Premier League,2021-2022,Leeds
327,Liam Delap,6.49,Premier League,2021-2022,Man City
328,Saúl íguez,6.49,Premier League,2021-2022,Chelsea
329,Sergi Canós,6.49,Premier League,2021-2022,Brentford
330,Neal Maupay,6.49,Premier League,2021-2022,Brighton
331,Luke Ayling,6.48,Premier League,2021-2022,Leeds
332,Rob Holding,6.48,Premier League,2021-2022,Arsenal
333,Pierre Lees-MelouNorwich,6.48,Premier League,2021-2022,
334,Edo Kayembe,6.48,Premier League,2021-2022,Watford
335,Patrick Bamford,6.48,Premier League,2021-2022,Leeds
336,Ryan Fraser,6.47,Premier League,2021-2022,Newcastle
337,Nicolas Nkoulou,6.47,Premier League,2021-2022,Watford
338,Teemu Pukki,6.47,Premier League,2021-2022,Norwich
339,Zanka,6.47,Premier League,2021-2022,Brentford
340,Donny van de Beek,6.47,Premier League,2021-2022,Everton
341,Tim Iroegbunam,6.46,Premier League,2021-2022,Aston Villa
342,Sam Byram,6.46,Premier League,2021-2022,Norwich
343,Mohamed Elneny,6.46,Premier League,2021-2022,Arsenal
344,Daniel Amartey,6.46,Premier League,2021-2022,Leicester
345,Fin Stevens,6.46,Premier League,2021-2022,Brentford
346,Álvaro Fernández,6.46,Premier League,2021-2022,Brentford
347,Saman Ghoddos,6.46,Premier League,2021-2022,Brentford
348,Issa Diop,6.46,Premier League,2021-2022,West Ham
349,Jeremy Ngakia,6.45,Premier League,2021-2022,Watford
350,Patson Daka,6.45,Premier League,2021-2022,Leicester
351,Jamie Shackleton,6.45,Premier League,2021-2022,Leeds
352,Marvelous Nakamba,6.45,Premier League,2021-2022,Aston Villa
353,Dan Gosling,6.45,Premier League,2021-2022,Watford
354,Jack Butland,6.45,Premier League,2021-2022,Crystal Palace
355,Jakub Moder,6.45,Premier League,2021-2022,Brighton
356,Kiko Femenía,6.45,Premier League,2021-2022,Watford
357,Jamaal Lascelles,6.45,Premier League,2021-2022,Newcastle
358,Pedro Neto,6.45,Premier League,2021-2022,Wolves
359,Jannik Vestergaard,6.44,Premier League,2021-2022,Leicester
360,Kenny McLean,6.44,Premier League,2021-2022,Norwich
361,Miguel Almirón,6.44,Premier League,2021-2022,Newcastle
362,Leander Dendoncker,6.44,Premier League,2021-2022,Wolves
363,Danny Rose,6.44,Premier League,2021-2022,Watford
364,Jay Rodriguez,6.44,Premier League,2021-2022,Burnley
365,Daniel James,6.44,Premier League,2021-2022,Leeds
366,Luka Milivojevic,6.44,Premier League,2021-2022,Crystal Palace
367,Jóhann Gudmundsson,6.44,Premier League,2021-2022,Burnley
368,Nicolas Pépé,6.44,Premier League,2021-2022,Arsenal
369,Wayne Hennessey,6.44,Premier League,2021-2022,Burnley
370,Max Aarons,6.43,Premier League,2021-2022,Norwich
371,Javier Manquillo,6.43,Premier League,2021-2022,Newcastle
372,Ezri Konsa,6.43,Premier League,2021-2022,Aston Villa
373,Ashley Young,6.43,Premier League,2021-2022,Aston Villa
374,Cole Palmer,6.43,Premier League,2021-2022,Man City
375,Harry Winks,6.43,Premier League,2021-2022,Tottenham
376,Phil Jones,6.42,Premier League,2021-2022,Man Utd
377,James Tomkins,6.42,Premier League,2021-2022,Crystal Palace
378,Boubakary Soumaré,6.42,Premier League,2021-2022,Leicester
379,Ashley Westwood,6.42,Premier League,2021-2022,Burnley
380,Steven Alzate,6.42,Premier League,2021-2022,Brighton
381,Nuno Tavares,6.42,Premier League,2021-2022,Arsenal
382,Tim Krul,6.42,Premier League,2021-2022,Norwich
383,Mathias Jensen,6.42,Premier League,2021-2022,Brentford
384,Milot Rashica,6.42,Premier League,2021-2022,Norwich
385,Bernd Leno,6.41,Premier League,2021-2022,Arsenal
386,Isaac Hayden,6.41,Premier League,2021-2022,Newcastle
387,Romain Perraud,6.41,Premier League,2021-2022,Southampton
388,John Ruddy,6.4,Premier League,2021-2022,Wolves
389,Edinson Cavani,6.4,Premier League,2021-2022,Man Utd
390,Leon Bailey,6.4,Premier League,2021-2022,Aston Villa
391,Billy Gilmour,6.39,Premier League,2021-2022,Norwich
392,Tanguy Ndombélé,6.39,Premier League,2021-2022,Tottenham
393,Matt Ritchie,6.39,Premier League,2021-2022,Newcastle
394,Jacob Murphy,6.39,Premier League,2021-2022,Newcastle
395,Adam Armstrong,6.38,Premier League,2021-2022,Southampton
396,Ibrahima Diallo,6.38,Premier League,2021-2022,Southampton
397,Sean Longstaff,6.38,Premier League,2021-2022,Newcastle
398,C,6.38,Premier League,2021-2022,J Egan-RileyMan City
399,Tariqe Fosu,6.38,Premier League,2021-2022,Brentford
400,Jack Cork,6.38,Premier League,2021-2022,Burnley
401,Takumi Minamino,6.38,Premier League,2021-2022,Liverpool
402,Mateusz Klich,6.37,Premier League,2021-2022,Leeds
403,Christian Kabasele,6.37,Premier League,2021-2022,Watford
404,Lyanco,6.37,Premier League,2021-2022,Southampton
405,Federico Fernández,6.37,Premier League,2021-2022,Newcastle
406,Frank Onyeka,6.37,Premier League,2021-2022,Brentford
407,Craig Cathcart,6.37,Premier League,2021-2022,Watford
408,Ozan Kabak,6.36,Premier League,2021-2022,Norwich
409,Pascal Struijk,6.36,Premier League,2021-2022,Leeds
410,Robin Koch,6.35,Premier League,2021-2022,Leeds
411,Adam Idah,6.35,Premier League,2021-2022,Norwich
412,Ayoze Pérez,6.35,Premier League,2021-2022,Leicester
413,Ben Gibson,6.35,Premier League,2021-2022,Norwich
414,Marcus Rashford,6.35,Premier League,2021-2022,Man Utd
415,Ainsley Maitland-Niles,6.35,Premier League,2021-2022,Arsenal
416,Shane Long,6.34,Premier League,2021-2022,Southampton
417,Morgan Sanson,6.34,Premier League,2021-2022,Aston Villa
418,Jeff Hendrick,6.34,Premier League,2021-2022,Newcastle
419,Jacob Sørensen,6.34,Premier League,2021-2022,Norwich
420,Sam Greenwood,6.34,Premier League,2021-2022,Leeds
421,Luke Cundle,6.34,Premier League,2021-2022,Wolves
422,Adam Forshaw,6.33,Premier League,2021-2022,Leeds
423,Jamal Lewis,6.33,Premier League,2021-2022,Newcastle
424,Matej Vydra,6.33,Premier League,2021-2022,Burnley
425,Anwar El Ghazi,6.33,Premier League,2021-2022,Aston Villa
426,Tyler Roberts,6.32,Premier League,2021-2022,Leeds
427,Shandon Baptiste,6.32,Premier League,2021-2022,Brentford
428,Josh Sargent,6.32,Premier League,2021-2022,Norwich
429,Nampalys Mendy,6.32,Premier League,2021-2022,Leicester
430,Juan Mata,6.31,Premier League,2021-2022,Man Utd
431,Peter Etebo,6.31,Premier League,2021-2022,Watford
432,Anthony Martial,6.31,Premier League,2021-2022,Man Utd
433,Tom Cleverley,6.31,Premier League,2021-2022,Watford
434,Ki-Jana Hoever,6.31,Premier League,2021-2022,Wolves
435,Donny van de Beek,6.3,Premier League,2021-2022,Man Utd
436,Giovani Lo Celso,6.3,Premier League,2021-2022,Tottenham
437,Ken Sema,6.29,Premier League,2021-2022,Watford
438,Bertrand Traoré,6.28,Premier League,2021-2022,Aston Villa
439,Joe Gelhardt,6.28,Premier League,2021-2022,Leeds
440,Aaron Lennon,6.28,Premier League,2021-2022,Burnley
441,Eric Bailly,6.28,Premier League,2021-2022,Man Utd
442,Jonjoe Kenny,6.27,Premier League,2021-2022,Everton
443,Ben Foster,6.27,Premier League,2021-2022,Watford
444,Mads Bech,6.27,Premier League,2021-2022,Brentford
445,William Troost-EkongWatford,6.27,Premier League,2021-2022,
446,Mads Roerslev,6.27,Premier League,2021-2022,Brentford
