Actual,Predicted
6.51,6.6235945965446605
6.66,6.517689487176061
6.68,6.8273562713251845
6.49,6.694783495992638
7.09,6.813007251728332
6.24,6.469147105548827
6.46,6.431616863171974
6.64,6.62336778247257
6.57,6.550665503006017
6.65,6.5833505286205005
6.28,6.390782457402128
6.76,6.495156280784995
6.46,6.487683120773684
6.31,6.669348557207556
6.46,6.380256073447242
6.74,6.6512271237989
6.86,6.4756953828286
6.81,6.665261970997336
6.72,6.771662735901027
6.59,6.844779405283292
6.47,6.588375507630732
6.22,6.45231712546518
6.73,6.559835443568993
6.33,6.585803025380576
6.68,6.715989910418859
6.55,6.6796093027611345
6.44,6.461259014404492
6.47,6.77089227603551
7.08,6.869791050328865
6.46,6.625776184358668
6.69,6.697787348726568
6.59,6.645139679015267
6.33,6.510860266290938
6.41,6.544978246992633
6.81,6.715163486209095
6.74,6.600651749060609
7.05,6.680589060156768
6.98,6.705768007393396
6.6,6.6324021617016955
6.44,6.553152987899753
6.68,6.673816971799702
6.94,6.783405500090239
6.68,6.580108974161124
6.58,6.76184165484254
7.24,6.589671589786704
6.59,6.638706590346663
6.64,6.631359049504074
6.59,6.594116406798879
6.54,6.533748523152353
6.63,6.538563330286005
6.59,6.559191989099638
6.7,6.548224142831323
6.59,6.578762846880504
6.53,6.576737042202886
6.4,6.601768407638575
6.71,6.747936769212977
6.07,6.396102650883072
6.43,6.49474278998685
6.88,6.591678078049608
6.37,6.631120892055835
6.68,6.735042717396382
6.59,6.695858219468844
6.99,6.811048849154286
6.61,6.670231649708812
6.6,6.6660859985759595
6.59,6.461385165157211
6.55,6.501411600438432
6.59,6.728040128750009
6.73,6.7241395415226854
7.01,6.439438101406439
6.84,6.7687718910891945
6.78,6.737446795443549
6.49,6.613696476753198
7.04,6.825103132654748
7.19,6.753831292993117
6.4,6.423990135444034
6.35,6.493359468506995
6.53,6.532806614003112
6.57,6.67306230341608
7.04,6.796615299387293
6.55,6.625698284127801
6.58,6.65372978652743
6.64,6.611107603670653
6.62,6.600989620335514
6.53,6.49981999818738
6.5,6.486947979965
6.84,6.829525086138958
6.55,6.50887962320908
6.58,6.847766045638514
6.61,6.561250673801039
6.72,6.63257407545418
6.08,6.41291702384087
6.52,6.5233391982512785
6.59,6.4099727123758585
6.74,6.708753133367608
6.53,6.64760646534172
6.42,6.581976145609838
7.06,6.7329325519795455
6.81,6.758267155009537
6.66,6.597587290504987
6.24,6.484014193949381
6.97,6.973713250693342
6.32,6.534722057460185
6.37,6.505570076483196
6.95,6.7666426309001695
6.52,6.432134590872924
7.03,6.906635747212046
6.43,6.5768232936953055
6.63,6.530047409746277
7.09,6.879906884400487
6.9,6.638349632001438
6.82,6.660888095465294
6.79,6.896790100706795
6.5,6.544358259716707
6.33,6.685076068280648
6.87,6.4689049009725
6.33,6.45426597822266
6.76,6.63624552336658
6.77,6.622663319439701
6.35,6.566877596067242
6.94,6.7370113272783065
6.71,6.64567247008851
6.38,6.513545546327912
6.65,6.80785406255692
6.47,6.6374507608338895
6.36,6.4052586124932285
6.45,6.627689650779231
6.37,6.521291352222899
6.71,6.504812123130688
6.77,6.668885201379912
6.66,6.752929013032497
6.5,6.509607295983748
6.46,6.412032634751675
6.22,6.405244576259793
6.58,6.530674538731348
6.57,6.51260643770746
6.49,6.66410244860892
6.59,7.035215401804294
6.48,6.490145839259298
6.59,6.5929597916699425
6.13,6.43698041295911
6.59,6.58776317838677
6.3,6.409695534594687
6.57,6.536075551546128
6.59,6.642727281436851
6.87,6.86674608921872
6.36,6.457607561128708
6.66,6.646957198649523
6.59,6.661194559586938
6.95,6.715122276754199
6.83,6.7481494587239785
6.4,6.678847057443544
6.3,6.5467135728318775
6.75,6.894584125706727
6.6,6.53267870963439
6.87,6.72729155194898
7.05,6.692040614053497
6.93,6.684704013195419
6.86,6.845335556852621
6.44,6.54325831200024
6.4,6.5714831659320625
6.36,6.554989283538707
7.12,6.784591088824876
6.45,6.5101730627818775
6.39,6.722981450599578
6.67,6.47473491229442
6.86,6.7937422940270045
6.62,6.570697432260419
6.62,6.462133958621967
6.79,6.765485765242889
6.18,6.3996373862363924
6.25,6.462533662154761
6.48,6.48139248477846
6.67,6.486953873593258
7.06,6.977114006383318
6.7,6.553023171276344
