,Player Name,Rating,League,Season,Squad
0,Asmir Begovic,7.82,Premier League,2022-2023,Everton
1,Kevin De Bruyne,7.58,Premier League,2022-2023,Man City
2,Stefan Ortega,7.56,Premier League,2022-2023,Man City
3,Erling Haaland,7.54,Premier League,2022-2023,Man City
4,Harry Kane,7.51,Premier League,2022-2023,Tottenham
5,Bruno Fernandes,7.44,Premier League,2022-2023,Man Utd
6,Gabriel Jesus,7.42,Premier League,2022-2023,Arsenal
7,Kieran Trippier,7.41,Premier League,2022-2023,Newcastle
8,Bukayo Saka,7.4,Premier League,2022-2023,Arsenal
9,Solly March,7.38,Premier League,2022-2023,Brighton
10,Jack Grealish,7.33,Premier League,2022-2023,Man City
11,Martin degaard,7.29,Premier League,2022-2023,Arsenal
12,Rodri,7.26,Premier League,2022-2023,Man City
13,Gabriel Martinelli,7.25,Premier League,2022-2023,Arsenal
14,Ivan Toney,7.25,Premier League,2022-2023,Brentford
15,Joelinton,7.25,Premier League,2022-2023,Newcastle
16,James Maddison,7.24,Premier League,2022-2023,Leicester
17,Rodrigo Bentancur,7.22,Premier League,2022-2023,Tottenham
18,Bruno Guimarães,7.21,Premier League,2022-2023,Newcastle
19,Casemiro,7.17,Premier League,2022-2023,Man Utd
20,Mohamed Salah,7.17,Premier League,2022-2023,Liverpool
21,Phil Foden,7.13,Premier League,2022-2023,Man City
22,Ilkay Gündogan,7.11,Premier League,2022-2023,Man City
23,Trent Alexander-Arnold,7.11,Premier League,2022-2023,Liverpool
24,Ethan Pinnock,7.11,Premier League,2022-2023,Brentford
25,Aleksandar Mitrovic,7.08,Premier League,2022-2023,Fulham
26,Marcus Rashford,7.08,Premier League,2022-2023,Man Utd
27,Reece James,7.07,Premier League,2022-2023,Chelsea
28,Thomas Partey,7.06,Premier League,2022-2023,Arsenal
29,Felipe,7.06,Premier League,2022-2023,Nottingham Forest
30,Cody Gakpo,7.06,Premier League,2022-2023,Liverpool
31,Alexander Isak,7.06,Premier League,2022-2023,Newcastle
32,João Cancelo,7.05,Premier League,2022-2023,Man City
33,Alexis Mac Allister,7.05,Premier League,2022-2023,Brighton
34,Fabian Schär,7.05,Premier League,2022-2023,Newcastle
35,Declan Rice,7.02,Premier League,2022-2023,West Ham
36,Pierre-Emile Højbjerg,7.02,Premier League,2022-2023,Tottenham
37,Eberechi Eze,7.02,Premier League,2022-2023,Crystal Palace
38,Riyad Mahrez,7.01,Premier League,2022-2023,Man City
39,Bryan Mbeumo,7.01,Premier League,2022-2023,Brentford
40,Yerry Mina,7.01,Premier League,2022-2023,Everton
41,Kaoru Mitoma,7.0,Premier League,2022-2023,Brighton
42,Pascal,7.0,Premier League,2022-2023,
43,Michael Olise,6.99,Premier League,2022-2023,Crystal Palace
44,Dwight McNeil,6.99,Premier League,2022-2023,Everton
45,Willian,6.99,Premier League,2022-2023,Fulham
46,Leandro Trossard,6.99,Premier League,2022-2023,Brighton
47,Ben Mee,6.98,Premier League,2022-2023,Brentford
48,Kenny Tete,6.98,Premier League,2022-2023,Fulham
49,Granit Xhaka,6.98,Premier League,2022-2023,Arsenal
50,Lucas Paquetá,6.98,Premier League,2022-2023,West Ham
51,Martin Dúbravka,6.98,Premier League,2022-2023,Newcastle
52,James Tarkowski,6.97,Premier League,2022-2023,Everton
53,Luis Díaz,6.97,Premier League,2022-2023,Liverpool
54,Ollie Watkins,6.96,Premier League,2022-2023,Aston Villa
55,Diogo Dalot,6.96,Premier League,2022-2023,Man Utd
56,Pedro Porro,6.96,Premier League,2022-2023,Tottenham
57,Marcus Tavernier,6.95,Premier League,2022-2023,Bournemouth
58,Rúben Neves,6.95,Premier League,2022-2023,Wolves
59,James Ward-ProwseSouthampton,6.95,Premier League,2022-2023,
60,David Raya,6.95,Premier League,2022-2023,Brentford
61,Thiago Silva,6.95,Premier League,2022-2023,Chelsea
62,Son Heung-Min,6.95,Premier League,2022-2023,Tottenham
63,N Golo Kanté,6.95,Premier League,2022-2023,Chelsea
64,Virgil van Dijk,6.94,Premier League,2022-2023,Liverpool
65,João Palhinha,6.93,Premier League,2022-2023,Fulham
66,Aaron Wan-BissakaMan Utd,6.93,Premier League,2022-2023,
67,Douglas Luiz,6.93,Premier League,2022-2023,Aston Villa
68,Alisson Becker,6.92,Premier League,2022-2023,Liverpool
