,Player Name,Rating,League,Season,Squad
69,Bernd Leno,6.92,Premier League,2022-2023,Fulham
70,Callum Wilson,6.92,Premier League,2022-2023,Newcastle
71,Moisés Caicedo,6.92,Premier League,2022-2023,Brighton
72,Miguel Almirón,6.91,Premier League,2022-2023,Newcastle
73,Benoît Badiashile,6.91,Premier League,2022-2023,Chelsea
74,Wesley Fofana,6.9,Premier League,2022-2023,Leicester
75,Christian Nørgaard,6.9,Premier League,2022-2023,Brentford
76,Lewis Hall,6.9,Premier League,2022-2023,Chelsea
77,Luke Shaw,6.9,Premier League,2022-2023,Man Utd
78,Joe Willock,6.88,Premier League,2022-2023,Newcastle
79,Emiliano Martínez,6.87,Premier League,2022-2023,Aston Villa
80,Oleksandr Zinchenko,6.86,Premier League,2022-2023,Arsenal
81,Jacob Ramsey,6.86,Premier League,2022-2023,Aston Villa
82,Roberto Firmino,6.85,Premier League,2022-2023,Liverpool
83,Sèrge Aurier,6.85,Premier League,2022-2023,Nottingham Forest
84,Leandro Trossard,6.84,Premier League,2022-2023,Arsenal
85,Gabriel Magalhães,6.84,Premier League,2022-2023,Arsenal
86,Lisandro Martínez,6.84,Premier League,2022-2023,Man Utd
87,Morgan Gibbs-WhiteNottingham Forest,6.83,Premier League,2022-2023,
88,Kalidou Koulibaly,6.83,Premier League,2022-2023,Chelsea
89,Jadon Sancho,6.82,Premier League,2022-2023,Man Utd
90,Çaglar Söyüncü,6.82,Premier League,2022-2023,Leicester
91,Philip Billing,6.82,Premier League,2022-2023,Bournemouth
92,Antony,6.82,Premier League,2022-2023,Man Utd
93,Michael Keane,6.82,Premier League,2022-2023,Everton
94,Alex Iwobi,6.82,Premier League,2022-2023,Everton
95,Thiago Alcântara,6.82,Premier League,2022-2023,Liverpool
96,Wilfried Zaha,6.82,Premier League,2022-2023,Crystal Palace
97,Mathias Jensen,6.82,Premier League,2022-2023,Brentford
98,John McGinn,6.81,Premier League,2022-2023,Aston Villa
99,Kepa,6.81,Premier League,2022-2023,Chelsea
100,Jarrod Bowen,6.8,Premier League,2022-2023,West Ham
101,Tomás Soucek,6.8,Premier League,2022-2023,West Ham
102,Bernardo Silva,6.8,Premier League,2022-2023,Man City
103,Allan Saint-MaximinNewcastle,6.8,Premier League,2022-2023,
104,Noni Madueke,6.8,Premier League,2022-2023,Chelsea
105,Jordan Ayew,6.8,Premier League,2022-2023,Crystal Palace
106,Enzo Fernández,6.8,Premier League,2022-2023,Chelsea
107,John Stones,6.8,Premier League,2022-2023,Man City
108,Cristian Romero,6.8,Premier League,2022-2023,Tottenham
109,Youri Tielemans,6.8,Premier League,2022-2023,Leicester
110,Rúben Dias,6.79,Premier League,2022-2023,Man City
111,Joachim Andersen,6.79,Premier League,2022-2023,Crystal Palace
112,Hamed Traoré,6.79,Premier League,2022-2023,Bournemouth
113,Darwin Núñez,6.79,Premier League,2022-2023,Liverpool
114,Pervis Estupiñán,6.79,Premier League,2022-2023,Brighton
115,Dominic Solanke,6.79,Premier League,2022-2023,Bournemouth
116,Ibrahima Konaté,6.79,Premier League,2022-2023,Liverpool
117,Mohammed Salisu,6.78,Premier League,2022-2023,Southampton
118,Ben White,6.78,Premier League,2022-2023,Arsenal
119,Andy Robertson,6.78,Premier League,2022-2023,Liverpool
120,Julio Enciso,6.78,Premier League,2022-2023,Brighton
121,Dejan Kulusevski,6.78,Premier League,2022-2023,Tottenham
122,William Saliba,6.77,Premier League,2022-2023,Arsenal
123,Emerson Royal,6.77,Premier League,2022-2023,Tottenham
124,Dan Burn,6.77,Premier League,2022-2023,Newcastle
125,Neto,6.76,Premier League,2022-2023,Bournemouth
126,Vicente Guaita,6.76,Premier League,2022-2023,Crystal Palace
127,Danny Welbeck,6.76,Premier League,2022-2023,Brighton
128,Kai Havertz,6.75,Premier League,2022-2023,Chelsea
129,Nathan Aké,6.75,Premier League,2022-2023,Man City
130,Antonee Robinson,6.75,Premier League,2022-2023,Fulham
131,Tyrone Mings,6.75,Premier League,2022-2023,Aston Villa
132,Sven Botman,6.74,Premier League,2022-2023,Newcastle
133,Ivan Perisic,6.74,Premier League,2022-2023,Tottenham
134,Tosin Adarabioyo,6.74,Premier League,2022-2023,Fulham
135,Dango Ouattara,6.74,Premier League,2022-2023,Bournemouth
136,Raheem Sterling,6.74,Premier League,2022-2023,Chelsea
137,Diogo Jota,6.74,Premier League,2022-2023,Liverpool
138,Jason Steele,6.73,Premier League,2022-2023,Brighton
139,Sam Johnstone,6.73,Premier League,2022-2023,Crystal Palace
140,Tyler Adams,6.73,Premier League,2022-2023,Leeds
141,James Justin,6.73,Premier League,2022-2023,Leicester
142,Andreas Pereira,6.73,Premier League,2022-2023,Fulham
143,Jack Harrison,6.72,Premier League,2022-2023,Leeds
144,Cheick Doucouré,6.72,Premier League,2022-2023,Crystal Palace
145,Timothy Castagne,6.71,Premier League,2022-2023,Leicester
146,Armel Bella-KotchapSouthampton,6.71,Premier League,2022-2023,
147,Kiernan Dewsbury-HallLeicester,6.71,Premier League,2022-2023,
148,Álex Moreno,6.71,Premier League,2022-2023,Aston Villa
149,Shea Charles,6.71,Premier League,2022-2023,Man City
150,Fabinho,6.71,Premier League,2022-2023,Liverpool
151,Danilo,6.71,Premier League,2022-2023,Nottingham Forest
152,Matt Doherty,6.71,Premier League,2022-2023,Tottenham
153,Amadou Onana,6.71,Premier League,2022-2023,Everton
154,Victor Lindelöf,6.7,Premier League,2022-2023,Man Utd
155,Julián Alvarez,6.7,Premier League,2022-2023,Man City
156,Nick Pope,6.7,Premier League,2022-2023,Newcastle
157,Saïd Benrahma,6.7,Premier League,2022-2023,West Ham
158,Emiliano Buendía,6.7,Premier League,2022-2023,Aston Villa
159,Mason Mount,6.7,Premier League,2022-2023,Chelsea
160,Christian Eriksen,6.7,Premier League,2022-2023,Man Utd
161,Aymeric Laporte,6.69,Premier League,2022-2023,Man City
162,Jordan Pickford,6.69,Premier League,2022-2023,Everton
163,Joe Gomez,6.69,Premier League,2022-2023,Liverpool
164,Kurt Zouma,6.68,Premier League,2022-2023,West Ham
165,Marc Guéhi,6.68,Premier League,2022-2023,Crystal Palace
166,Rodrigo,6.68,Premier League,2022-2023,Leeds
167,Reiss Nelson,6.68,Premier League,2022-2023,Arsenal
168,Lukasz Fabianski,6.68,Premier League,2022-2023,West Ham
169,Nayef Aguerd,6.67,Premier League,2022-2023,West Ham
170,Curtis Jones,6.67,Premier League,2022-2023,Liverpool
171,Evan Ferguson,6.67,Premier League,2022-2023,Brighton
172,David de Gea,6.67,Premier League,2022-2023,Man Utd
173,Jan Bednarek,6.67,Premier League,2022-2023,Southampton
174,Pascal Struijk,6.66,Premier League,2022-2023,Leeds
175,Eric Dier,6.66,Premier League,2022-2023,Tottenham
176,Tim Ream,6.66,Premier League,2022-2023,Fulham
177,Issa Diop,6.66,Premier League,2022-2023,Fulham
178,Jeffrey Schlupp,6.66,Premier League,2022-2023,Crystal Palace
179,Harvey Barnes,6.66,Premier League,2022-2023,Leicester
180,Wout Faes,6.66,Premier League,2022-2023,Leicester
181,Idrissa Gueye,6.65,Premier League,2022-2023,Everton
182,Jefferson Lerma,6.65,Premier League,2022-2023,Bournemouth
183,Marc Cucurella,6.65,Premier League,2022-2023,Chelsea
184,Jorginho,6.65,Premier League,2022-2023,Chelsea
185,Joel Ward,6.65,Premier League,2022-2023,Crystal Palace
186,Wesley Fofana,6.65,Premier League,2022-2023,Chelsea
187,Raphaël Varane,6.64,Premier League,2022-2023,Man Utd
188,Rico Henry,6.64,Premier League,2022-2023,Brentford
189,Marcel Sabitzer,6.64,Premier League,2022-2023,Man Utd
190,Sean Longstaff,6.64,Premier League,2022-2023,Newcastle
191,Tyrell Malacia,6.64,Premier League,2022-2023,Man Utd
192,Vladimír Coufal,6.64,Premier League,2022-2023,West Ham
193,Harry Souttar,6.64,Premier League,2022-2023,Leicester
194,Max Wöber,6.63,Premier League,2022-2023,Leeds
195,Vitaly Janelt,6.63,Premier League,2022-2023,Brentford
196,Ben Davies,6.63,Premier League,2022-2023,Tottenham
197,Maximilian Kilman,6.63,Premier League,2022-2023,Wolves
198,Matheus Cunha,6.63,Premier League,2022-2023,Wolves
199,Duje Caleta-CarSouthampton,6.63,Premier League,2022-2023,
200,João Félix,6.63,Premier League,2022-2023,Chelsea
201,Rasmus Kristensen,6.63,Premier League,2022-2023,Leeds
202,Aaron Ramsdale,6.63,Premier League,2022-2023,Arsenal
203,Demarai Gray,6.62,Premier League,2022-2023,Everton
204,Dominic Calvert-LewinEverton,6.62,Premier League,2022-2023,
205,Lewis Dunk,6.62,Premier League,2022-2023,Brighton
206,Kamaldeen Sulemana,6.62,Premier League,2022-2023,Southampton
207,Toti Gomes,6.62,Premier League,2022-2023,Wolves
208,Liam Cooper,6.62,Premier League,2022-2023,Leeds
209,Craig Dawson,6.62,Premier League,2022-2023,Wolves
210,Ben Chilwell,6.62,Premier League,2022-2023,Chelsea
211,Robin Olsen,6.61,Premier League,2022-2023,Aston Villa
212,Leon Bailey,6.61,Premier League,2022-2023,Aston Villa
213,Willy-Arnaud Boly,6.61,Premier League,2022-2023,Nottingham Forest
214,Anthony Gordon,6.61,Premier League,2022-2023,Everton
215,Aaron Cresswell,6.61,Premier League,2022-2023,West Ham
216,Jorginho,6.6,Premier League,2022-2023,Arsenal
217,Matheus Nunes,6.6,Premier League,2022-2023,Wolves
218,Jakub Kiwior,6.6,Premier League,2022-2023,Arsenal
219,Neco Williams,6.6,Premier League,2022-2023,Nottingham Forest
220,Ché Adams,6.6,Premier League,2022-2023,Southampton
221,Lloyd Kelly,6.59,Premier League,2022-2023,Bournemouth
222,Joël Veltman,6.59,Premier League,2022-2023,Brighton
223,Anthony Martial,6.59,Premier League,2022-2023,Man Utd
224,Manuel Akanji,6.59,Premier League,2022-2023,Man City
225,Harry Maguire,6.59,Premier League,2022-2023,Man Utd
226,Dan Bentley,6.59,Premier League,2022-2023,Wolves
227,Vitalii Mykolenko,6.58,Premier League,2022-2023,Everton
228,Kyle Walker-PetersSouthampton,6.58,Premier League,2022-2023,
229,Chris Mepham,6.58,Premier League,2022-2023,Bournemouth
230,Caoimhín Kelleher,6.58,Premier League,2022-2023,Liverpool
231,Luis Sinisterra,6.58,Premier League,2022-2023,Leeds
232,Joe Worrall,6.58,Premier League,2022-2023,Nottingham Forest
233,Ashley Young,6.58,Premier League,2022-2023,Aston Villa
234,Pontus Jansson,6.57,Premier League,2022-2023,Brentford
235,Ezri Konsa,6.57,Premier League,2022-2023,Aston Villa
236,Dean Henderson,6.57,Premier League,2022-2023,Nottingham Forest
237,Jordan Henderson,6.57,Premier League,2022-2023,Liverpool
238,Danny Ings,6.57,Premier League,2022-2023,Aston Villa
239,Séamus Coleman,6.57,Premier League,2022-2023,Everton
240,Ryan Christie,6.56,Premier League,2022-2023,Bournemouth
241,Rico Lewis,6.56,Premier League,2022-2023,Man City
242,Matty Cash,6.56,Premier League,2022-2023,Aston Villa
243,Roméo Lavia,6.56,Premier League,2022-2023,Southampton
244,Ruben Loftus-Cheek,6.56,Premier League,2022-2023,Chelsea
245,João Gomes,6.56,Premier League,2022-2023,Wolves
246,Boubacar Kamara,6.56,Premier League,2022-2023,Aston Villa
247,Luke Ayling,6.55,Premier League,2022-2023,Leeds
248,Hugo Lloris,6.55,Premier League,2022-2023,Tottenham
249,Leander Dendoncker,6.55,Premier League,2022-2023,Wolves
250,Joe Aribo,6.55,Premier League,2022-2023,Southampton
251,Ayoze Pérez,6.55,Premier League,2022-2023,Leicester
252,Clément Lenglet,6.55,Premier League,2022-2023,Tottenham
253,Levi Colwill,6.54,Premier League,2022-2023,Brighton
254,Conor Gallagher,6.54,Premier League,2022-2023,Chelsea
255,Renan Lodi,6.54,Premier League,2022-2023,Nottingham Forest
256,Stefan Bajcetic,6.54,Premier League,2022-2023,Liverpool
257,Kyle Walker,6.54,Premier League,2022-2023,Man City
258,Daniel Amartey,6.53,Premier League,2022-2023,Leicester
259,Tyrick Mitchell,6.53,Premier League,2022-2023,Crystal Palace
260,Angelo Ogbonna,6.53,Premier League,2022-2023,West Ham
261,Sam Amo-AmeyawSouthampton,6.53,Premier League,2022-2023,
262,Keylor Navas,6.53,Premier League,2022-2023,Nottingham Forest
263,José Sá,6.53,Premier League,2022-2023,Wolves
264,Harvey Elliott,6.52,Premier League,2022-2023,Liverpool
265,Marcos Senesi,6.52,Premier League,2022-2023,Bournemouth
266,Adam Webster,6.52,Premier League,2022-2023,Brighton
267,Manor Solomon,6.52,Premier League,2022-2023,Fulham
268,Robin Koch,6.52,Premier League,2022-2023,Leeds
269,Scott McTominay,6.52,Premier League,2022-2023,Man Utd
270,Adama Traoré,6.52,Premier League,2022-2023,Wolves
271,César Azpilicueta,6.52,Premier League,2022-2023,Chelsea
272,Matías Viña,6.51,Premier League,2022-2023,Bournemouth
273,Yoane Wissa,6.51,Premier League,2022-2023,Brentford
274,Rayan Aït-NouriWolves,6.51,Premier League,2022-2023,
275,Gianluca Scamacca,6.51,Premier League,2022-2023,West Ham
276,Jack Stephens,6.51,Premier League,2022-2023,Bournemouth
277,Cody Drameh,6.51,Premier League,2022-2023,Leeds
278,Nathan Patterson,6.51,Premier League,2022-2023,Everton
279,João Moutinho,6.5,Premier League,2022-2023,Wolves
280,Taiwo Awoniyi,6.5,Premier League,2022-2023,Nottingham Forest
281,Daniel Podence,6.5,Premier League,2022-2023,Wolves
282,Joël Matip,6.5,Premier League,2022-2023,Liverpool
283,Morgan Gibbs-WhiteWolves,6.5,Premier League,2022-2023,
284,Thilo Kehrer,6.5,Premier League,2022-2023,West Ham
285,Marc Roca,6.5,Premier League,2022-2023,Leeds
286,Nélson Semedo,6.5,Premier League,2022-2023,Wolves
287,Ainsley Maitland-NilesSouthampton,6.5,Premier League,2022-2023,
288,Harrison Reed,6.5,Premier League,2022-2023,Fulham
289,Carlos Alcaraz,6.49,Premier League,2022-2023,Southampton
290,Wilfred Ndidi,6.49,Premier League,2022-2023,Leicester
291,Michail Antonio,6.49,Premier League,2022-2023,West Ham
292,Matthew Craig,6.49,Premier League,2022-2023,Tottenham
293,Boubakary Soumaré,6.49,Premier League,2022-2023,Leicester
294,Jordan Zemura,6.49,Premier League,2022-2023,Bournemouth
295,Brennan Johnson,6.49,Premier League,2022-2023,Nottingham Forest
296,Mohamed Elyounoussi,6.49,Premier League,2022-2023,Southampton
297,Jonny Evans,6.49,Premier League,2022-2023,Leicester
298,David Datro Fofana,6.49,Premier League,2022-2023,Chelsea
299,Nathan Collins,6.48,Premier League,2022-2023,Wolves
300,Tetê,6.48,Premier League,2022-2023,Leicester
301,Fred,6.48,Premier League,2022-2023,Man Utd
302,Moussa Niakhaté,6.48,Premier League,2022-2023,Nottingham Forest
303,Abdoulaye Doucouré,6.48,Premier League,2022-2023,Everton
304,Kostas Tsimikas,6.48,Premier League,2022-2023,Liverpool
305,Mateo Kovacic,6.48,Premier League,2022-2023,Chelsea
306,Wilfried Gnonto,6.48,Premier League,2022-2023,Leeds
307,Orel Mangala,6.48,Premier League,2022-2023,Nottingham Forest
308,Fraser Forster,6.47,Premier League,2022-2023,Tottenham
309,Lyanco,6.47,Premier League,2022-2023,Southampton
310,Davinson Sánchez,6.47,Premier League,2022-2023,Tottenham
311,Kelechi Iheanacho,6.47,Premier League,2022-2023,Leicester
312,Trevoh Chalobah,6.47,Premier League,2022-2023,Chelsea
313,Diego Llorente,6.46,Premier League,2022-2023,Leeds
314,Bobby De Cordova-ReidFulham,6.46,Premier League,2022-2023,
315,Romain Perraud,6.46,Premier League,2022-2023,Southampton
316,Danny Ward,6.46,Premier League,2022-2023,Leicester
317,Richarlison,6.46,Premier League,2022-2023,Tottenham
318,Crysencio Summerville,6.46,Premier League,2022-2023,Leeds
319,Marc Albrighton,6.46,Premier League,2022-2023,Leicester
320,Mario Lemina,6.45,Premier League,2022-2023,Wolves
321,Moussa Djenepo,6.45,Premier League,2022-2023,Southampton
322,Adam Lallana,6.45,Premier League,2022-2023,Brighton
323,Aaron Hickey,6.45,Premier League,2022-2023,Brentford
324,Hakim Ziyech,6.45,Premier League,2022-2023,Chelsea
325,Patson Daka,6.45,Premier League,2022-2023,Leicester
326,Ryan Yates,6.45,Premier League,2022-2023,Nottingham Forest
327,Jonny,6.45,Premier League,2022-2023,Wolves
328,Kevin Schade,6.45,Premier League,2022-2023,Brentford
329,Conor Coady,6.45,Premier League,2022-2023,Everton
330,Tino Livramento,6.45,Premier League,2022-2023,Southampton
331,Josh Dasilva,6.44,Premier League,2022-2023,Brentford
332,Joe Rothwell,6.44,Premier League,2022-2023,Bournemouth
333,Daniel James,6.44,Premier League,2022-2023,Leeds
334,Victor Kristiansen,6.44,Premier League,2022-2023,Leicester
335,Ederson,6.44,Premier League,2022-2023,Man City
336,Paul Onuachu,6.44,Premier League,2022-2023,Southampton
337,Jacob Murphy,6.44,Premier League,2022-2023,Newcastle
338,Eddie Nketiah,6.44,Premier League,2022-2023,Arsenal
339,Gavin Bazunu,6.44,Premier League,2022-2023,Southampton
340,Hugo Bueno,6.44,Premier League,2022-2023,Wolves
341,Craig Dawson,6.44,Premier League,2022-2023,West Ham
342,Emmanuel Dennis,6.44,Premier League,2022-2023,Nottingham Forest
343,Harry Wilson,6.43,Premier League,2022-2023,Fulham
344,Mads Roerslev,6.43,Premier League,2022-2023,Brentford
345,James Garner,6.43,Premier League,2022-2023,Everton
346,Odsonne douard,6.43,Premier League,2022-2023,Crystal Palace
347,Luke Thomas,6.43,Premier League,2022-2023,Leicester
348,Bryan Gil,6.43,Premier League,2022-2023,Tottenham
349,Wayne Hennessey,6.43,Premier League,2022-2023,Nottingham Forest
350,Albert Sambi Lokonga,6.42,Premier League,2022-2023,Crystal Palace
351,Illan Meslier,6.42,Premier League,2022-2023,Leeds
352,Robert Sánchez,6.42,Premier League,2022-2023,Brighton
353,Weston McKennie,6.42,Premier League,2022-2023,Leeds
354,Joel Robles,6.42,Premier League,2022-2023,Leeds
355,Oliver Skipp,6.42,Premier League,2022-2023,Tottenham
356,Emerson,6.42,Premier League,2022-2023,West Ham
357,Junior Firpo,6.42,Premier League,2022-2023,Leeds
358,Brenden Aaronson,6.41,Premier League,2022-2023,Leeds
359,Lewis Cook,6.41,Premier League,2022-2023,Bournemouth
360,Enock Mwepu,6.41,Premier League,2022-2023,Brighton
361,Neeskens Kebano,6.41,Premier League,2022-2023,Fulham
362,Kristoffer Ajer,6.41,Premier League,2022-2023,Brentford
363,Pablo Fornals,6.41,Premier League,2022-2023,West Ham
364,Lucas Digne,6.41,Premier League,2022-2023,Aston Villa
365,Chris Richards,6.4,Premier League,2022-2023,Crystal Palace
366,Ryan Sessegnon,6.4,Premier League,2022-2023,Tottenham
367,Juan Larios,6.4,Premier League,2022-2023,Southampton
368,Nathaniel Phillips,6.4,Premier League,2022-2023,Liverpool
369,Frank Onyeka,6.39,Premier League,2022-2023,Brentford
370,Cristiano Ronaldo,6.39,Premier League,2022-2023,Man Utd
371,Denis Zakaria,6.39,Premier League,2022-2023,Chelsea
372,Scott McKenna,6.39,Premier League,2022-2023,Nottingham Forest
373,Ben Johnson,6.39,Premier League,2022-2023,West Ham
374,Matt Targett,6.39,Premier League,2022-2023,Newcastle
375,Cheikhou Kouyaté,6.38,Premier League,2022-2023,Nottingham Forest
376,James Bree,6.38,Premier League,2022-2023,Southampton
377,Gonçalo Guedes,6.38,Premier League,2022-2023,Wolves
378,Remo Freuler,6.38,Premier League,2022-2023,Nottingham Forest
379,Pedro Neto,6.38,Premier League,2022-2023,Wolves
380,Pablo Sarabia,6.38,Premier League,2022-2023,Wolves
381,Theo Walcott,6.38,Premier League,2022-2023,Southampton
382,Wout Weghorst,6.38,Premier League,2022-2023,Man Utd
383,Ricardo Pereira,6.38,Premier League,2022-2023,Leicester
384,Philippe Coutinho,6.37,Premier League,2022-2023,Aston Villa
385,Fábio Carvalho,6.37,Premier League,2022-2023,Liverpool
386,Ludwig Augustinsson,6.37,Premier League,2022-2023,Aston Villa
387,Steve Cook,6.37,Premier League,2022-2023,Nottingham Forest
388,Bertrand Traoré,6.36,Premier League,2022-2023,Aston Villa
389,Zanka,6.36,Premier League,2022-2023,Brentford
390,Patrick Bamford,6.36,Premier League,2022-2023,Leeds
391,Édouard Mendy,6.36,Premier League,2022-2023,Chelsea
392,Alejandro Garnacho,6.35,Premier League,2022-2023,Man Utd
393,Jeremy Sarmiento,6.35,Premier League,2022-2023,Brighton
394,Kieffer Moore,6.35,Premier League,2022-2023,Bournemouth
395,Raúl Jiménez,6.35,Premier League,2022-2023,Wolves
396,Jaidon Anthony,6.35,Premier League,2022-2023,Bournemouth
397,Danny Ings,6.35,Premier League,2022-2023,West Ham
398,Isaac Price,6.35,Premier League,2022-2023,Everton
399,Mark Travers,6.35,Premier League,2022-2023,Bournemouth
400,Mikkel Damsgaard,6.35,Premier League,2022-2023,Brentford
401,Mason Holgate,6.35,Premier League,2022-2023,Everton
402,Deniz Undav,6.34,Premier League,2022-2023,Brighton
403,Cole Palmer,6.34,Premier League,2022-2023,Man City
404,James Milner,6.34,Premier League,2022-2023,Liverpool
405,Takehiro Tomiyasu,6.34,Premier League,2022-2023,Arsenal
406,Billy Gilmour,6.33,Premier League,2022-2023,Brighton
407,Lewis Miley,6.33,Premier League,2022-2023,Newcastle
408,Jamie Vardy,6.33,Premier League,2022-2023,Leicester
409,Cédric Soares,6.33,Premier League,2022-2023,Fulham
410,Ben Godfrey,6.32,Premier League,2022-2023,Everton
411,Hwang Hee-ChanWolves,6.32,Premier League,2022-2023,
412,Carlos Vinícius,6.32,Premier League,2022-2023,Fulham
413,Jan Bednarek,6.32,Premier League,2022-2023,Aston Villa
414,Adam Smith,6.32,Premier League,2022-2023,Bournemouth
415,Alex Oxlade Chamberlain,6.32,Premier League,2022-2023,Liverpool
416,Samuel Edozie,6.31,Premier League,2022-2023,Southampton
417,Lewis O Brien,6.31,Premier League,2022-2023,Nottingham Forest
418,Nampalys Mendy,6.31,Premier League,2022-2023,Leicester
419,Mykhailo Mudryk,6.31,Premier League,2022-2023,Chelsea
420,Fábio Vieira,6.31,Premier League,2022-2023,Arsenal
421,Leander Dendoncker,6.31,Premier League,2022-2023,Aston Villa
422,Alphonse Areola,6.31,Premier League,2022-2023,West Ham
423,Stuart Armstrong,6.31,Premier League,2022-2023,Southampton
424,Rob Holding,6.31,Premier League,2022-2023,Arsenal
425,Tom Cairney,6.3,Premier League,2022-2023,Fulham
426,Chris Wood,6.3,Premier League,2022-2023,Nottingham Forest
427,Elliot Anderson,6.3,Premier League,2022-2023,Newcastle
428,Sam Greenwood,6.3,Premier League,2022-2023,Leeds
429,Daniel Iversen,6.3,Premier League,2022-2023,Leicester
430,Nathaniel Clyne,6.29,Premier League,2022-2023,Crystal Palace
431,Chris Wood,6.29,Premier League,2022-2023,Newcastle
432,Armando Broja,6.29,Premier League,2022-2023,Chelsea
433,Yves Bissouma,6.29,Premier League,2022-2023,Tottenham
434,Harry Toffolo,6.28,Premier League,2022-2023,Nottingham Forest
435,Darko Gyabi,6.28,Premier League,2022-2023,Leeds
436,Facundo Buonanotte,6.28,Premier League,2022-2023,Brighton
437,Albert Sambi Lokonga,6.28,Premier League,2022-2023,Arsenal
438,Jack Colback,6.27,Premier League,2022-2023,Nottingham Forest
439,Oriol Romeu,6.27,Premier League,2022-2023,Southampton
440,Sékou Mara,6.27,Premier League,2022-2023,Southampton
